Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
Google,google.com,45,15,30,"India: 26, Ireland: 1, Switzerland: 1, Singapore: 1, United Kingdom: 1"
Microsoft,microsoft.com,50,22,28,"India: 22, United Kingdom: 2, Dallas-Fort Worth Metroplex: 1, United Arab Emirates: 1, France: 1, Türkiye: 1"
EY,ey.com,20,1,19,India: 19
Deloitte,deloitte.com,13,1,12,"India: 9, Switzerland: 1, Canada: 1, Morocco: 1"
LinkedIn,linkedin.com,25,14,11,"Brazil: 3, India: 2, Lebanon: 1, United Kingdom: 1, Spain: 1, Nigeria: 1, China: 1, France: 1"
Self Employed,selfemployed.com,10,0,10,"India: 6, Canada: 1, Saudi Arabia: 1, القاهرة مصر: 1, China: 1"
Amazon,amazon.com,17,7,10,"India: 9, Greater Phoenix Area: 1"
Confidential Careers,confidential.careers,9,0,9,"Saudi Arabia: 4, Sri Lanka: 1, India: 1, Morocco: 1, Egypt: 1, United Arab Emirates: 1"
Tata Consultancy Services,tcs.com,6,0,6,India: 6
PwC Middle East,pwc.com,7,1,6,"India: 3, Egypt: 2, Saudi Arabia: 1"
Arabic 4U,youtube.com,7,1,6,"India: 5, Egypt: 1"
Genpact,genpact.com,6,0,6,India: 6
Selectio México,selectio.com.mx,6,0,6,"Área metropolitana de Ciudad de México: 4, Mexico City Metropolitan Area: 2"
Emirates,emirates.com,6,0,6,United Arab Emirates: 6
KPMG India,social.kpmg,5,0,5,India: 5
ADNOC Group,adnoc.ae,5,0,5,United Arab Emirates: 5
United Nations,un.org,6,1,5,"Canada: 1, Austria: 1, Unknown: 1, Netherlands: 1, United Kingdom: 1"
Salesforce,salesforce.com,7,2,5,India: 5
Wipro,wipro.com,4,0,4,India: 4
topmate.io,topmate.click,4,0,4,"India: 3, Greater Chicago Area: 1"
HCLTech,hcltech.com,5,1,4,India: 4
HubSpot,hubspot.com,5,1,4,"United Kingdom: 2, San Francisco Bay Area: 1, Colombia: 1"
Flipkart,flipkart.com,4,0,4,India: 4
Government of India (भारत सरकार),india.gov.in,4,0,4,"India: 3, Greater Delhi Area: 1"
European Commission,europa.eu,4,0,4,"Belgium: 2, Netherlands: 1, Brussels Metropolitan Area: 1"
A Job Thing,ajobthing.com,4,0,4,"Malaysia: 3, Greater Kuala Lumpur: 1"
PwC India,pwc.in,4,0,4,India: 4
Business Partners - شركاء الاعمال,business-partners.co,4,0,4,Saudi Arabia: 4
Oracle,oracle.com,5,1,4,"India: 2, Mexico: 1, Bangladesh: 1"
McKinsey & Company,mckinsey.com,5,1,4,"China: 1, India: 1, Hong Kong SAR: 1, 台灣 臺北市 台北: 1"
American Express,americanexpress.com,4,0,4,"India: 3, Spain: 1"
Epicareer,epicareer.com,4,0,4,"Indonesia: 3, Malaysia: 1"
Capgemini,capgemini.com,4,0,4,"India: 3, France: 1"
Atlassian,atlassian.com,4,0,4,India: 4
Azizi Developments,azizidevelopments.com,4,0,4,United Arab Emirates: 4
Swiggy,swiggy.com,4,0,4,India: 4
Adecco,adecco.com,4,0,4,"القاهرة القاهرة مصر: 2, Argentina: 1, Italy: 1"
Razorpay,razorpay.com,3,0,3,India: 3
Tech Mahindra,techmahindra.com,3,0,3,"India: 2, United Kingdom: 1"
Accenture,accenture.com,4,1,3,India: 3
Assemblée nationale,assemblee-nationale.fr,3,0,3,France: 3
UBS,ubs.com,3,0,3,"Switzerland: 2, New York City Metropolitan Area: 1"
