Domain,URL,Company Name,Segment,Reasoning,Employees,Country,Industry,LinkedIn,Short Description
butterflyeffect.ai,https://butterflyeffect.ai,BUTTERFLY EFFECT AB,IM_FIRST_AGENCIES,"""Authentic, data-driven and creative collaborations with business impact.""",4,Sweden,marketing & advertising,http://www.linkedin.com/company/butterfly-effect-ab,"By understanding culture and how virality works, we've taken artists from obscurity to celebrity since day one.

Entertainment sits at the core of eve"
diepdigital.com,https://diepdigital.com,Diep Digital,IM_FIRST_AGENCIES,"""influencer marketing agency""",8,Turkey,marketing & advertising,http://www.linkedin.com/company/diepdigital,"We power commerce through conversation by enabling brands to sell, market, and engage their customers—all via text."
digireich.com,https://digireich.com,digireich - Digital Communications,IM_FIRST_AGENCIES,"""Wir verbinden Marken mit Creators""",8,,marketing & advertising,http://www.linkedin.com/company/digireich,"digireich ist ein junges digitales Kollektiv. Wir bei digireich sind ""Out of the Boss Thinker"" - deshalb lieben wir es, selbstverantwortlich und mutig"
wedigital.cz,https://wedigital.cz,WeDigital Prague,IM_FIRST_AGENCIES,"""influencer marketing""",3,Czech Republic,marketing & advertising,http://www.linkedin.com/company/wedigitalprague,"Navrhneme vám digitální obsahovou strategii. 
Příběh vaší značky odvyprávíme fotkou, videem či eventem. 
Použijeme takové kanály a nástroje, které bud"
webstarschannel.it,https://webstarschannel.it,Web Stars Channel,IM_FIRST_AGENCIES,"""connecting brands with digital content creators""",40,Italy,media production,http://www.linkedin.com/company/web-stars-channel,"Web Stars Channel is Italy's first creator media company, founded in 2013 by talent scout Luca Casadei. Based in Milan, the company specializes in con"
antiboringcontent.club,https://antiboringcontent.club,Anti Boring Content Club,IM_FIRST_AGENCIES,"""authentic content collaborations between brands, creators, and communities.""",14,Germany,marketing & advertising,http://www.linkedin.com/company/anti-boring-content-club,"Anti Boring Content Club (ABCC) is a content marketing agency based in Berlin, focused on creating authentic content collaborations between brands, cr"
socialedagency.com,https://socialedagency.com,socialed.,IM_FIRST_AGENCIES,"""Socialed is a global social and influencer marketing agency, offering strategy, creative, community and production.""",11,United Kingdom,marketing & advertising,http://www.linkedin.com/company/socialedagency,"Socialed. (SOCIALED LTD) is a UK-based digital agency that focuses on social media-led solutions. Established on October 30, 2021, and located in Lond"
thecoo.co.jp,https://thecoo.co.jp,THECOO Inc.,IM_FIRST_AGENCIES,"""デジタル広告・インフルエンサーマーケティングの広告代理事業""",130,Japan,information technology & services,http://www.linkedin.com/company/thecoo-inc,"THECOO is a Japan-based corporate under a vision of ""Keep Challenging The Impossible."" THECOO operates several businesses. 
 - Fanicon
　 - Multi-platf"
yousales.agency,https://yousales.agency,YouSales,IM_FIRST_AGENCIES,"""Premier influencer marketing sales house uniting the Global Russian-speaking audience and independent brands""",29,,marketing & advertising,http://www.linkedin.com/company/yousales-agency,Premier influencer marketing sales house uniting the Global Russian-speaking audience and independent brands
orbeat.co,https://orbeat.co,ORBEAT,IM_FIRST_AGENCIES,"""we connect you with the right influencers""",30,,marketing & advertising,http://www.linkedin.com/company/orbeatindonesia,"In Orbeat, we did not just connect you with the right influencers. But, we make them create voices that resonate, we orchestrate the chaos, and make s"
