candidate_segment,gpt_label,id,domain,name,country,industry,reasoning,linkedin_url,website_url
REVIEW_UGC,NEW:PRODUCT_REVIEW_PLATFORM,69258,judge.me,Judge.me,,,"",,
CREATOR_ADJACENT,NEW:CREATOR_SOCIAL_PLATFORM,75709,vylitworld.com,Vylit,,,"",,
SOCIAL_LISTENING,NEW:SOCIAL_LISTENING,176139,neticle.com,Neticle,,,"",,
AI_CONTENT_MARKETING,NEW:AI_MARKETING_AGENCY,176225,busylike.com,Busylike,,,"",,
CREATOR_ADJACENT,NEW:WEB3_CREATOR_PAYMENTS,184635,oomphcoin.com,"",,,"",,
CREATOR_ADJACENT,NEW:CREATOR_MANAGEMENT_SAAS,184677,musuni.io,"",,,"",,
SOCIAL_LISTENING,NEW:SOCIAL_LISTENING_PLATFORM,184713,genylabs.io,"",,,"",,
SOCIAL_OTHER,NEW:SOCIAL_MEDIA_AUTOMATION_PLATFORM,185059,abev.ai,"",,,"",,
REVIEW_UGC,NEW:REPUTATION_MANAGEMENT_PLATFORM,185093,fugutech.co,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_BRAND_INTELLIGENCE_SAAS,185261,novaview.ai,"",,,"",,
REVIEW_UGC,NEW:REVIEW_MANAGEMENT_SOFTWARE,185726,reviewsonmywebsite.com,"",,,"",,
AD_TECH,NEW:AD_NETWORK,186298,maxvalue.media,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_ENGAGEMENT_PLATFORM_AGENCY,187041,edenwork.com,"",,,"",,
SOCIAL_OTHER,NEW:SOCIAL_MEDIA_COACHING,187138,wifimoney.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_PROGRAMS,187254,sweete.info,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_VISIBILITY_AEO_AGENCY,187534,nikiamedia.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_PLATFORM,188296,anglehq.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_INCENTIVE_PLATFORM,189507,hediyemo.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_SOFTWARE,190758,defacto-loyalty.com,"",,,"",,
AD_TECH,NEW:MARKETING_ATTRIBUTION_PLATFORM,192045,magpietechnology.com,"",,,"",,
AD_TECH,NEW:ADTECH_PLATFORM,192525,axis-marketplace.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:BRAND_COMMUNITY_PLATFORM,193090,rediem.co,"",,,"",,
SOCIAL_OTHER,NEW:SOCIAL_MEDIA_BOOSTING,195805,creadreams.com.tr,"",,,"",,
AD_TECH,NEW:MEDIA_BUYING_PLATFORM,198844,displaynow.net,"",,,"",,
AD_TECH,NEW:ADTECH_ENABLER,200410,blackcmedia.net,"",,,"",,
AD_TECH,NEW:AD_TECH,201179,adsmovil.com,"",,,"",,
REVIEW_UGC,NEW:REVIEW_MANAGEMENT_PLATFORM,201413,pulsereviews.io,"",,,"",,
CREATOR_ADJACENT,NEW:ONLINE_EDUCATION_FOR_CREATORS,202790,adamenfroy.com,"",,,"",,
LOYALTY_COMMUNITY,NEW:REWARDS_PLATFORM,202927,rewardsbygcow.com,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_CONTENT_CREATION_TOOL,203136,liftapp.ai,"",,,"",,
LOYALTY_COMMUNITY,NEW:LOYALTY_PLATFORM,203739,rewardchain.io,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_CONTENT_MONETIZATION_PLATFORM,204302,tollbit.com,"",,,"",,
REVIEW_UGC,NEW:REPUTATION_MANAGEMENT_SOFTWARE,208754,pntr.io,"",,,"",,
CREATOR_ADJACENT,NEW:CREATOR_TOOLS,208897,electricsheep.tv,"",,,"",,
CREATOR_ADJACENT,NEW:PODCAST_PLATFORM,213019,blubrry.com,"",,,"",,
REVIEW_UGC,NEW:REVIEW_PLATFORM,213905,awerreviews.com,"",,,"",,
CREATOR_ADJACENT,NEW:NEWSLETTER_GROWTH_PLATFORM,216851,sparkloop.app,"",,,"",,
SOCIAL_LISTENING,NEW:SOCIAL_LISTENING_PLATFORM,221166,canvs.ai,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_VISIBILITY_PLATFORM,222144,wellows.com,"",,,"",,
REVIEW_UGC,NEW:ECOMMERCE_LOYALTY_REVIEWS_PLATFORM,223589,stamped.io,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_CONTENT_PLATFORM,225310,cosmicjs.com,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_SOCIAL_CONTENT_TOOL,225374,stockimg.ai,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_CONTENT_PLATFORM,225431,kiwiq.ai,"",,,"",,
REVIEW_UGC,NEW:ECOMMERCE_REPUTATION_MANAGEMENT,226173,bluebug.io,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_MARKET_RESEARCH_PLATFORM,228030,holyshift.ai,"",,,"",,
CREATOR_ADJACENT,NEW:PODCAST_CREATOR_PLATFORM,228832,podzay.com,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_MARKETING_INSIGHTS_PLATFORM,228844,prxyai.com,"",,,"",,
SOCIAL_OTHER,NEW:SOCIAL_GROWTH_SERVICE,231745,mynameisbond.co,"",,,"",,
CREATOR_ADJACENT,NEW:CREATOR_WORKFLOW_IP_PROTECTION,232835,spacetwo.xyz,"",,,"",,
AI_CONTENT_MARKETING,NEW:AI_CONTENT_SEO_PLATFORM,232877,creaitor.ai,"",,,"",,
SOCIAL_OTHER,NEW:SOCIAL_GROWTH_SERVICE,238681,popigram.com,"",,,"",,
