id,domain,name,verdict,segment,confidence,reasoning,country,city,industry,employee_count,employee_range,linkedin_url,website_url,first_run_id,created_at
45799,promoguy.nl,PromoGuy,f,OTHER,,,,,,,,,,561,2026-02-16 16:53:20.994351+00
45870,radaar.io,Radaar,f,NOT_A_MATCH,,,,,,,,,,543,2026-02-16 16:53:20.994351+00
45903,coolnerdsmarketing.com,Cool Nerds Marketing,f,OTHER,,,,,,,,,,532,2026-02-16 16:53:20.994351+00
46039,digitalhill.pl,Digital Hill,f,NOT_A_MATCH,,,,,,,,,,414,2026-02-16 17:06:36.298365+00
46096,mrpost.pl,mrpost,f,NOT_A_MATCH,,,,,,,,,,409,2026-02-16 17:06:36.298365+00
46259,voymedia.com,Voy Media,f,NOT_A_MATCH,,,,,,,,,,508,2026-02-16 17:20:52.975398+00
46312,kohai.pl,Kohai,f,OTHER,,,,,,,,,,562,2026-02-16 17:20:52.975398+00
46444,superbcompanies.com,Superb Companies,f,NOT_A_MATCH,,,,,,,,,,538,2026-02-16 17:31:35.32995+00
46471,conture.pl,Conture,f,NOT_A_MATCH,,,,,,,,,,499,2026-02-16 17:31:35.32995+00
46525,prflare.com,prflare,f,NEW:GUEST_POSTING_PLATFORM,,,,,,,,,,564,2026-02-16 17:31:35.32995+00
46534,overthetopseo.com,Over The Top SEO,f,NOT_A_MATCH,,,,,,,,,,508,2026-02-16 17:39:52.050397+00
46552,growfusely.com,Growfusely,f,OTHER,,,,,,,,,,501,2026-02-16 17:39:52.050397+00
46562,nakatomi.pl,nakatomi,f,NOT_A_MATCH,,,,,,,,,,510,2026-02-16 17:39:52.050397+00
46707,conectys.com,Conectys,f,OTHER,,,,,,,,,,365,2026-02-16 17:47:49.289159+00
46759,clickhive.co.uk,Click Hive,f,NOT_A_MATCH,,,,,,,,,,414,2026-02-16 17:47:49.289159+00
46814,mild.se,Mild,f,NOT_A_MATCH,,,,,,,,,,521,2026-02-16 17:47:49.289159+00
46869,5radv.com,5 Reasons,f,NOT_A_MATCH,,,,,,,,,,493,2026-02-16 17:55:32.585409+00
46899,effeect.com,Effeect,f,NOT_A_MATCH,,,,,,,,,,532,2026-02-16 17:55:32.585409+00
