name,domain,matched_segment
,bix.co,INFLUENCER_PLATFORMS
,shoutoutcity.com,INFLUENCER_PLATFORMS
,simpleinfluence.co.za,INFLUENCER_PLATFORMS
,axees.io,INFLUENCER_PLATFORMS
,vidovo.com,INFLUENCER_PLATFORMS
,toolhunter.co,INFLUENCER_PLATFORMS
,creatorsclub.world,INFLUENCER_PLATFORMS
,buzzspark.io,INFLUENCER_PLATFORMS
,trendtribecreators.com,INFLUENCER_PLATFORMS
,hookit.cc,INFLUENCER_PLATFORMS
,shopbonsai.ca,INFLUENCER_PLATFORMS
,ellicreators.com,INFLUENCER_PLATFORMS
,gamesquare.com,INFLUENCER_PLATFORMS
18startup community,thecrumb.co,INFLUENCER_PLATFORMS
1stCollab,1stcollab.com,INFLUENCER_PLATFORMS
1stinfluencer.com,1stinfluencer.com,INFLUENCER_PLATFORMS
2TA.IO,2ta.io,INFLUENCER_PLATFORMS
Aarki,rzr.com,INFLUENCER_PLATFORMS
Affogato AI,affogato.ai,INFLUENCER_PLATFORMS
Afinia Digital,afiniadigital.com,INFLUENCER_PLATFORMS
alist.ae,alist.ae,INFLUENCER_PLATFORMS
Allstars Indonesia,allstars.id,INFLUENCER_PLATFORMS
All Targeting Media & Marketing,alltargeting.com,INFLUENCER_PLATFORMS
allymatic,allymatic.com,INFLUENCER_PLATFORMS
Arsenal.gg,arsenal.gg,INFLUENCER_PLATFORMS
Athios,athios.ai,INFLUENCER_PLATFORMS
Atisfyre,atisfyre.com,INFLUENCER_PLATFORMS
AtisfyReach,atisfyreach.com,INFLUENCER_PLATFORMS
atlaseek,atlaseek.com,INFLUENCER_PLATFORMS
ATTN,attn.sg,INFLUENCER_PLATFORMS
Avatars International,avatars.international,INFLUENCER_PLATFORMS
Bamboo,bamboo.app,INFLUENCER_PLATFORMS
Barter,getbarter.com,INFLUENCER_PLATFORMS
BBTV,bbtv.com,INFLUENCER_PLATFORMS
BCV,rategainsoho.com,INFLUENCER_PLATFORMS
BETANDEAL,betandeal.com,INFLUENCER_PLATFORMS
Bloomer,bloomer.pro,INFLUENCER_PLATFORMS
Booknerds,booknerds.co,INFLUENCER_PLATFORMS
Bounties,bounties.work,INFLUENCER_PLATFORMS
BrandBacker,brandbacker.com,INFLUENCER_PLATFORMS
BrandCycle,brandcycle.com,INFLUENCER_PLATFORMS
Branded,appbranded.com,INFLUENCER_PLATFORMS
Branded ContentTM by Social Native,brandedcontent.com,INFLUENCER_PLATFORMS
BrandNation,brandnation.se,INFLUENCER_PLATFORMS
BrandPal,brandpal.ai,INFLUENCER_PLATFORMS
BREAK,breakmkt.com,INFLUENCER_PLATFORMS
Breakr,breakr.app,INFLUENCER_PLATFORMS
Bulba,bulba.app,INFLUENCER_PLATFORMS
Buzzmonitor,buzzmonitor.com,INFLUENCER_PLATFORMS
Calibre UGC,calibreugc.com,INFLUENCER_PLATFORMS
CIMS,getcims.com,INFLUENCER_PLATFORMS
