domain,name,matched_segment,confidence,country,employees
newmcn.com,,IM_FIRST_AGENCIES,0.95,,
paragonsocialcommerce.com,Paragon Social Commerce,IM_FIRST_AGENCIES,0.95,,
supernovada.com,Supernova Digital,IM_FIRST_AGENCIES,0.95,,
risercollective.com.au,,IM_FIRST_AGENCIES,0.92,,
10xcrew.com,10XCREW,IM_FIRST_AGENCIES,0.9,,
ammi.cc,,IM_FIRST_AGENCIES,0.9,,
borderxmedia.com,BorderX Media,IM_FIRST_AGENCIES,0.9,,
butterflyagency.io,,IM_FIRST_AGENCIES,0.9,,
butterflyagency.io,,IM_FIRST_AGENCIES,0.9,,
connnecta.com.br,,IM_FIRST_AGENCIES,0.9,,
connnecta.com.br,,IM_FIRST_AGENCIES,0.9,,
starlive.tech,,IM_FIRST_AGENCIES,0.9,,
thecreativeagencyboston.com,,IM_FIRST_AGENCIES,0.9,,
theletsinfluence.com,,IM_FIRST_AGENCIES,0.9,,
thesuperdesk.com,,IM_FIRST_AGENCIES,0.9,,
sesame-digital.com,,IM_FIRST_AGENCIES,0.88,,
vidzy.in,,IM_FIRST_AGENCIES,0.88,,
openthejunkdrawer.com,,IM_FIRST_AGENCIES,0.85,,
sparkroas.com,,IM_FIRST_AGENCIES,0.85,,
wearesmp.com,SMP (Simpson Mahoney Parrock Limited),IM_FIRST_AGENCIES,0.85,,
grail-talent.com,Grail Talent,IM_FIRST_AGENCIES,0.7,,
socioimpulse.com,Socio Impulse,IM_FIRST_AGENCIES,0.7,,
stagedigital.com.br,Stage Digital,IM_FIRST_AGENCIES,0.7,,
thisisfuture.com,Futuretech,IM_FIRST_AGENCIES,0.7,,
takefluence.com,Takefluence,IM_FIRST_AGENCIES,0.5,,
team5pm.com,team5pm,IM_FIRST_AGENCIES,0.5,,
influee.co,Influee,INFLUENCER_PLATFORMS,1,,
youdji.com,Youdji,INFLUENCER_PLATFORMS,1,,
axees.io,,INFLUENCER_PLATFORMS,0.95,,
bix.co,,INFLUENCER_PLATFORMS,0.95,,
limelighthq.com,Limelight,INFLUENCER_PLATFORMS,0.95,,
shoutoutcity.com,,INFLUENCER_PLATFORMS,0.95,,
vidovo.com,,INFLUENCER_PLATFORMS,0.95,,
bloomer.pro,Bloomer,INFLUENCER_PLATFORMS,0.92,,
creatorsclub.world,,INFLUENCER_PLATFORMS,0.92,,
ycreator.carrd.co,YCreator,INFLUENCER_PLATFORMS,0.92,,
ellicreators.com,,INFLUENCER_PLATFORMS,0.9,,
simpleinfluence.co.za,,INFLUENCER_PLATFORMS,0.9,,
toolhunter.co,,INFLUENCER_PLATFORMS,0.9,,
tychon.app,tychon,INFLUENCER_PLATFORMS,0.9,,
trendtribecreators.com,,INFLUENCER_PLATFORMS,0.88,,
buzzspark.io,,INFLUENCER_PLATFORMS,0.85,,
fypm.vip,FYPM (F*** You Pay Me),INFLUENCER_PLATFORMS,0.85,,
fypm.vip,FYPM (F*** You Pay Me),INFLUENCER_PLATFORMS,0.85,,
ramd.am,Ramdam,INFLUENCER_PLATFORMS,0.8,,
pulse-advertising.com,Pulse Advertising,OTHER,0.5,,
somerce.com,Somerce,OTHER,0.5,,
addsauce.com,,SOCIAL_COMMERCE,0.95,,
benovel.com,benovel,SOCIAL_COMMERCE,0.95,,
caast.tv,,SOCIAL_COMMERCE,0.95,,
clicktivated.com,Clicktivated Video, Inc.,SOCIAL_COMMERCE,0.95,,
dangdi.eu,,SOCIAL_COMMERCE,0.95,,
euka.ai,,SOCIAL_COMMERCE,0.95,,
firework.com,,SOCIAL_COMMERCE,0.95,,
frnt.co,,SOCIAL_COMMERCE,0.95,,
getvop.com,,SOCIAL_COMMERCE,0.95,,
immerss.live,,SOCIAL_COMMERCE,0.95,,
laiza.live,Laiza Social Commerce,SOCIAL_COMMERCE,0.95,,
