domain,name,matched_segment,confidence,country,employee_range,industry,description
paragonsocialcommerce.com,Paragon Social Commerce,IM_FIRST_AGENCIES,0.95,,,,
newmcn.com,"",IM_FIRST_AGENCIES,0.95,,,,
starlive.tech,"",IM_FIRST_AGENCIES,0.93,,,,
thecreativeagencyboston.com,"",IM_FIRST_AGENCIES,0.92,,,,
supernovada.com,Supernova Digital,IM_FIRST_AGENCIES,0.9,,,,
borderxmedia.com,BorderX Media,IM_FIRST_AGENCIES,0.9,,,,
10xcrew.com,10XCREW,IM_FIRST_AGENCIES,0.9,,,,
ammi.cc,"",IM_FIRST_AGENCIES,0.9,,,,
thesuperdesk.com,"",IM_FIRST_AGENCIES,0.88,,,,
butterflyagency.io,"",IM_FIRST_AGENCIES,0.88,,,,
sailawaymedia.com,"",IM_FIRST_AGENCIES,0.85,,,,
wearesmp.com,SMP (Simpson Mahoney Parrock Limited),IM_FIRST_AGENCIES,0.85,,,,
creatorsclub.world,"",INFLUENCER_PLATFORMS,0.95,,,,
limelighthq.com,Limelight,INFLUENCER_PLATFORMS,0.95,,,,
shoutoutcity.com,"",INFLUENCER_PLATFORMS,0.92,,,,
ycreator.carrd.co,YCreator,INFLUENCER_PLATFORMS,0.92,,,,
bloomer.pro,Bloomer,INFLUENCER_PLATFORMS,0.9,,,,
ellicreators.com,"",INFLUENCER_PLATFORMS,0.9,,,,
buzzspark.io,"",INFLUENCER_PLATFORMS,0.9,,,,
toolhunter.co,"",INFLUENCER_PLATFORMS,0.88,,,,
fypm.vip,FYPM (F*** You Pay Me),INFLUENCER_PLATFORMS,0.85,,,,
trendtribecreators.com,"",INFLUENCER_PLATFORMS,0.85,,,,
simpleinfluence.co.za,"",INFLUENCER_PLATFORMS,0.8,,,,
laiza.live,Laiza Social Commerce,SOCIAL_COMMERCE,0.98,,,,
clicktivated.com,"Clicktivated Video, Inc.",SOCIAL_COMMERCE,0.98,,,,
topdrwr.io,"",SOCIAL_COMMERCE,0.95,,,,
silvr.ai,"",SOCIAL_COMMERCE,0.95,,,,
veyra.co.in,Veyra,SOCIAL_COMMERCE,0.95,,,,
mimo.com.br,"",SOCIAL_COMMERCE,0.95,,,,
frnt.co,"",SOCIAL_COMMERCE,0.95,,,,
linkfluencer.io,"",SOCIAL_COMMERCE,0.95,,,,
swipeup.app,"",SOCIAL_COMMERCE,0.95,,,,
euka.ai,"",SOCIAL_COMMERCE,0.95,,,,
shopsense.ai,"",SOCIAL_COMMERCE,0.95,,,,
shopclips.app,"",SOCIAL_COMMERCE,0.95,,,,
vidvi.com,Vidvi,SOCIAL_COMMERCE,0.95,,,,
benovel.com,benovel,SOCIAL_COMMERCE,0.95,,,,
streamerce.live,"",SOCIAL_COMMERCE,0.95,,,,
linkable.link,"",SOCIAL_COMMERCE,0.95,,,,
raqk.co,"",SOCIAL_COMMERCE,0.95,,,,
dangdi.eu,"",SOCIAL_COMMERCE,0.95,,,,
veels.pro,"",SOCIAL_COMMERCE,0.95,,,,
smartcommerce.com,"",SOCIAL_COMMERCE,0.95,,,,
weedeo.co,"",SOCIAL_COMMERCE,0.95,,,,
shoparonline.com,"",SOCIAL_COMMERCE,0.95,,,,
zellor.com,"",SOCIAL_COMMERCE,0.95,,,,
madeinlive.fr,"",SOCIAL_COMMERCE,0.95,,,,
trendio.ai,"",SOCIAL_COMMERCE,0.95,,,,
streamplaza.com,"",SOCIAL_COMMERCE,0.95,,,,
shopreel.ai,"",SOCIAL_COMMERCE,0.95,,,,
alive.app.br,"",SOCIAL_COMMERCE,0.95,,,,
spree.city,"",SOCIAL_COMMERCE,0.95,,,,
lyvecom.com,LYVECOM - A TON Strategy Company,SOCIAL_COMMERCE,0.95,,,,
caast.tv,"",SOCIAL_COMMERCE,0.95,,,,
getvop.com,"",SOCIAL_COMMERCE,0.95,,,,
reelup.io,"",SOCIAL_COMMERCE,0.95,,,,
live2.ai,"",SOCIAL_COMMERCE,0.95,,,,
ouishopp.com,"",SOCIAL_COMMERCE,0.93,,,,
yourshoppingstream.com,"",SOCIAL_COMMERCE,0.93,,,,
streamshop.com.br,"",SOCIAL_COMMERCE,0.93,,,,
basketstudios.com,"",SOCIAL_COMMERCE,0.93,,,,
emcee.com,"",SOCIAL_COMMERCE,0.93,,,,
goodpix.co,"",SOCIAL_COMMERCE,0.93,,,,
widde.io,"",SOCIAL_COMMERCE,0.92,,,,
myclique.shop,"",SOCIAL_COMMERCE,0.92,,,,
shopzlive.io,"",SOCIAL_COMMERCE,0.92,,,,
seeen.com,"",SOCIAL_COMMERCE,0.92,,,,
artrela.tv,"",SOCIAL_COMMERCE,0.92,,,,
livesel.com,"",SOCIAL_COMMERCE,0.92,,,,
videopoint.ai,"",SOCIAL_COMMERCE,0.92,,,,
wasal.com,"",SOCIAL_COMMERCE,0.92,,,,
vrupi.com,vrupi,SOCIAL_COMMERCE,0.92,,,,
cataloghub.in,"",SOCIAL_COMMERCE,0.9,,,,
gizmott.com,"",SOCIAL_COMMERCE,0.9,,,,
stream.jio,"",SOCIAL_COMMERCE,0.9,,,,
makeitshoppable.com,"",SOCIAL_COMMERCE,0.9,,,,
genpark.ai,"",SOCIAL_COMMERCE,0.9,,,,
theartofliveselling.com,"",SOCIAL_COMMERCE,0.9,,,,
glamourbae.com,"",SOCIAL_COMMERCE,0.9,,,,
sesame-digital.com,"",SOCIAL_COMMERCE,0.9,,,,
basketful.co,"",SOCIAL_COMMERCE,0.9,,,,
streamagency.com,"",SOCIAL_COMMERCE,0.9,,,,
kerv.ai,"",SOCIAL_COMMERCE,0.9,,,,
fortitudegroup.it,"",SOCIAL_COMMERCE,0.9,,,,
afrovivo-waitlist.vercel.app,"",SOCIAL_COMMERCE,0.9,,,,
addlist.app,"",SOCIAL_COMMERCE,0.9,,,,
zaply.io,"",SOCIAL_COMMERCE,0.9,,,,
tipsnaps.com,"",SOCIAL_COMMERCE,0.9,,,,
mshop.live,"",SOCIAL_COMMERCE,0.9,,,,
nws.ai,"",SOCIAL_COMMERCE,0.9,,,,
arvia.tech,"",SOCIAL_COMMERCE,0.9,,,,
123on.com,"",SOCIAL_COMMERCE,0.9,,,,
connnecta.com.br,"",SOCIAL_COMMERCE,0.88,,,,
curatedby.you,"",SOCIAL_COMMERCE,0.88,,,,
apptile.com,"",SOCIAL_COMMERCE,0.88,,,,
adxeed.com,"",SOCIAL_COMMERCE,0.85,,,,
