name,domain,matched_segment
,goodpix.co,SOCIAL_COMMERCE
,getvop.com,SOCIAL_COMMERCE
,spree.city,SOCIAL_COMMERCE
,adxeed.com,SOCIAL_COMMERCE
,raqk.co,SOCIAL_COMMERCE
,fortitudegroup.it,SOCIAL_COMMERCE
,mshop.live,SOCIAL_COMMERCE
,gizmott.com,SOCIAL_COMMERCE
,shopreel.ai,SOCIAL_COMMERCE
,artrela.tv,SOCIAL_COMMERCE
,widde.io,SOCIAL_COMMERCE
,streamagency.com,SOCIAL_COMMERCE
,123on.com,SOCIAL_COMMERCE
,basketful.co,SOCIAL_COMMERCE
,euka.ai,SOCIAL_COMMERCE
,dangdi.eu,SOCIAL_COMMERCE
,myclique.shop,SOCIAL_COMMERCE
,cataloghub.in,SOCIAL_COMMERCE
,getpaloma.com,SOCIAL_COMMERCE
,dominariai.com,SOCIAL_COMMERCE
,aje.africa,SOCIAL_COMMERCE
,sellz.bot,SOCIAL_COMMERCE
,venddor.com.br,SOCIAL_COMMERCE
,flatlay.io,SOCIAL_COMMERCE
,getgrowai.com,SOCIAL_COMMERCE
,posh.mk,SOCIAL_COMMERCE
,oyah.com,SOCIAL_COMMERCE
,theartofliveselling.com,SOCIAL_COMMERCE
,kerv.ai,SOCIAL_COMMERCE
,frnt.co,SOCIAL_COMMERCE
,silvr.ai,SOCIAL_COMMERCE
,talkshop.live,SOCIAL_COMMERCE
,commentsold.com,SOCIAL_COMMERCE
,smartzer.com,SOCIAL_COMMERCE
,shopzlive.io,SOCIAL_COMMERCE
,yourshoppingstream.com,SOCIAL_COMMERCE
,zellor.com,SOCIAL_COMMERCE
,swipeup.app,SOCIAL_COMMERCE
,sesame-digital.com,SOCIAL_COMMERCE
,caast.tv,SOCIAL_COMMERCE
,shopsense.ai,SOCIAL_COMMERCE
,shoparonline.com,SOCIAL_COMMERCE
,trendio.ai,SOCIAL_COMMERCE
,streamshop.com.br,SOCIAL_COMMERCE
,madeinlive.fr,SOCIAL_COMMERCE
,wasal.com,SOCIAL_COMMERCE
,veels.pro,SOCIAL_COMMERCE
,zaply.io,SOCIAL_COMMERCE
,emcee.com,SOCIAL_COMMERCE
,afrovivo-waitlist.vercel.app,SOCIAL_COMMERCE
,connnecta.com.br,SOCIAL_COMMERCE
,makeitshoppable.com,SOCIAL_COMMERCE
,trulyfree.com,SOCIAL_COMMERCE
,genpark.ai,SOCIAL_COMMERCE
,addsauce.com,SOCIAL_COMMERCE
,livebuy.io,SOCIAL_COMMERCE
,immerss.live,SOCIAL_COMMERCE
,arvia.tech,SOCIAL_COMMERCE
,topdrwr.io,SOCIAL_COMMERCE
,reelup.io,SOCIAL_COMMERCE
,live2.ai,SOCIAL_COMMERCE
,weedeo.co,SOCIAL_COMMERCE
,seeen.com,SOCIAL_COMMERCE
,mimo.com.br,SOCIAL_COMMERCE
,basketstudios.com,SOCIAL_COMMERCE
,alive.app.br,SOCIAL_COMMERCE
,linkable.link,SOCIAL_COMMERCE
,shopclips.app,SOCIAL_COMMERCE
,apptile.com,SOCIAL_COMMERCE
,glamourbae.com,SOCIAL_COMMERCE
,smartcommerce.com,SOCIAL_COMMERCE
,ouishopp.com,SOCIAL_COMMERCE
,curatedby.you,SOCIAL_COMMERCE
,stream.jio,SOCIAL_COMMERCE
,streamplaza.com,SOCIAL_COMMERCE
,livesel.com,SOCIAL_COMMERCE
,linkfluencer.io,SOCIAL_COMMERCE
,nws.ai,SOCIAL_COMMERCE
,streamerce.live,SOCIAL_COMMERCE
,tipsnaps.com,SOCIAL_COMMERCE
authentic.commerce,authentic-commerce.com,SOCIAL_COMMERCE
benovel,benovel.com,SOCIAL_COMMERCE
Catenoid Inc.,catenoid.net,SOCIAL_COMMERCE
"Clicktivated Video, Inc.",clicktivated.com,SOCIAL_COMMERCE
Droppii,droppii.com,SOCIAL_COMMERCE
FanBridge,fanbridge.app,SOCIAL_COMMERCE
Global Passage,collabzi.ai,SOCIAL_COMMERCE
GroupGolfer.com,groupgolfer.com,SOCIAL_COMMERCE
KocharSoft,kocharsoft.com,SOCIAL_COMMERCE
Laiza Social Commerce,laiza.live,SOCIAL_COMMERCE
LikeMinds,likeminds.community,SOCIAL_COMMERCE
Live2Shop.tv,live2shop.tv,SOCIAL_COMMERCE
Luxury Brands India,firework.tv,SOCIAL_COMMERCE
LYVECOM - A TON Strategy Company,lyvecom.com,SOCIAL_COMMERCE
Mandu,mandu.com.vn,SOCIAL_COMMERCE
마플샵(MarppleShop),marpple.shop,SOCIAL_COMMERCE
MilyonAda,milyonada.com,SOCIAL_COMMERCE
People's Inc.,thepeoplesinc.org,SOCIAL_COMMERCE
Reetags,reetags.com,SOCIAL_COMMERCE
Sankmo,sankmo.in,SOCIAL_COMMERCE
Screencore,screencore.io,SOCIAL_COMMERCE
SugarReach,sugarreach.com,SOCIAL_COMMERCE
SwiPik,swipik.com,SOCIAL_COMMERCE
TechSell,techsell.fr,SOCIAL_COMMERCE
Tessell Marketing,tessellmarketing.com,SOCIAL_COMMERCE
Veyra,veyra.co.in,SOCIAL_COMMERCE
Videommerce - Interactive Video Growth Platform,videommerce.com,SOCIAL_COMMERCE
Vidvi,vidvi.com,SOCIAL_COMMERCE
vrupi,vrupi.com,SOCIAL_COMMERCE
WALEE MENA,walee.ae,SOCIAL_COMMERCE
