company_name,domain,employees,industry,segment,confidence
Publifyer,publifyer.com,,,INFLUENCER_PLATFORMS,1.0
Lightricks,lightricks.com,,,INFLUENCER_PLATFORMS,0.95
Bulba,bulba.app,,,INFLUENCER_PLATFORMS,0.95
Metapic,metapic.com,,,INFLUENCER_PLATFORMS,0.95
Shoplooks,shoplooks.com,,,INFLUENCER_PLATFORMS,0.95
goadgo,goadgo.app,,,INFLUENCER_PLATFORMS,0.95
VRinfluence.ai,vrinfluence.ai,,,INFLUENCER_PLATFORMS,0.95
Moonio,moonio.io,,,INFLUENCER_PLATFORMS,0.95
Elife,elife.com.br,,,INFLUENCER_PLATFORMS,0.92
DHL Express Malaysia,campsite.bio,,,INFLUENCER_PLATFORMS,0.92
Gamesight,gamesight.io,,,INFLUENCER_PLATFORMS,0.9
CleverGroup Corp,clevergroup.vn,,,INFLUENCER_PLATFORMS,0.9
tychon,tychon.app,,,INFLUENCER_PLATFORMS,0.9
Livemercial: The NEW AS Seen ON TV!,livemercial.com,,,INFLUENCER_PLATFORMS,0.9
Lolly.com,lolly.com,,,INFLUENCER_PLATFORMS,0.9
Favored,favored.live,,,INFLUENCER_PLATFORMS,0.9
Pendulum,pendulumintel.com,,,INFLUENCER_PLATFORMS,0.9
PULR,pulr.co,,,INFLUENCER_PLATFORMS,0.9
"PowerReviews, by Syndigo",powerreviews.com,,,INFLUENCER_PLATFORMS,0.9
Livespins,livespins.com,,,INFLUENCER_PLATFORMS,0.9
ELECTRIC ⚡️,likeshop.me,,,INFLUENCER_PLATFORMS,0.9
RHEI,rhei.com,,,INFLUENCER_PLATFORMS,0.9
BrandCycle,brandcycle.com,,,INFLUENCER_PLATFORMS,0.9
Acast,acast.com,,,INFLUENCER_PLATFORMS,0.9
Starry,starrykol.com,,,INFLUENCER_PLATFORMS,0.9
GoInsiders,goinsiders.com.br,,,INFLUENCER_PLATFORMS,0.9
Hypefy,hypefy.ai,,,INFLUENCER_PLATFORMS,0.95
Whalar Group,whalargroup.com,,,INFLUENCER_PLATFORMS,0.95
Roeme,getroeme.com,,,INFLUENCER_PLATFORMS,0.95
IGoTrend,igotrend.com,,,INFLUENCER_PLATFORMS,0.95
Livewire,livewire.group,,,INFLUENCER_PLATFORMS,0.85
NewRich Network,newrich.com,,,INFLUENCER_PLATFORMS,0.85
YouNet Media,younetmedia.com,,,INFLUENCER_PLATFORMS,0.85
Buzzmonitor,buzzmonitor.com,,,INFLUENCER_PLATFORMS,0.85
Easygo,easygo.io,,,INFLUENCER_PLATFORMS,0.85
Mediacube,mediacube.io,,,INFLUENCER_PLATFORMS,0.85
LinkPizza - Content & Influencer Marketplace,linkpizza.com,,,INFLUENCER_PLATFORMS,0.85
Silly Monks Entertainment Ltd.,sillymonks.com,,,INFLUENCER_PLATFORMS,0.85
DRIM Global,drim.one,,,INFLUENCER_PLATFORMS,0.85
Creator.co,creator.co,,,INFLUENCER_PLATFORMS,0.85
Affogato AI,affogato.ai,,,INFLUENCER_PLATFORMS,0.85
The Lobby,fromthelobby.com,,,INFLUENCER_PLATFORMS,0.85
Fabulate,fabulate.com.au,,,INFLUENCER_PLATFORMS,0.85
Sankmo,sankmo.in,,,INFLUENCER_PLATFORMS,0.92
Streamloots,streamloots.com,,,INFLUENCER_PLATFORMS,0.92
OTA Network,ota.network,,,INFLUENCER_PLATFORMS,0.9
BrandBacker,brandbacker.com,,,INFLUENCER_PLATFORMS,0.9
Vynture,usevynture.com,,,INFLUENCER_PLATFORMS,0.9
Limelight,limelighthq.com,,,INFLUENCER_PLATFORMS,0.8
Sociata,sociata.com,,,INFLUENCER_PLATFORMS,0.8
Clipster,clipster.gg,,,INFLUENCER_PLATFORMS,0.8
Pimbell,pimbell.com,,,INFLUENCER_PLATFORMS,0.8
PANEL,panelforcreators.com,,,INFLUENCER_PLATFORMS,0.8
TAWA Digital Talents,tawa.digital,,,INFLUENCER_PLATFORMS,0.8
Breakr,breakr.app,,,INFLUENCER_PLATFORMS,0.8
flynt.social,flynt.social,,,INFLUENCER_PLATFORMS,0.8
MOGL,mogl.online,,,INFLUENCER_PLATFORMS,0.8
Tellscore,tellscore.com,,,INFLUENCER_PLATFORMS,0.8
FLUVIP - Influencer Marketing Leader,fluvip.com,,,INFLUENCER_PLATFORMS,0.8
Bona Fide,wearebonafide.co.uk,,,INFLUENCER_PLATFORMS,0.8
TAGby,tagby.io,,,INFLUENCER_PLATFORMS,0.8
Infleux,infleux.co,,,INFLUENCER_PLATFORMS,0.8
Inbazz,inbazz.com.br,,,INFLUENCER_PLATFORMS,0.8
Data on Steroids,dataonsteroids.com,,,INFLUENCER_PLATFORMS,0.8
Connector Club Asia,connector.cc,,,INFLUENCER_PLATFORMS,0.85
Hyperiser,hyperiser.com,,,INFLUENCER_PLATFORMS,0.85
BrandPal,brandpal.ai,,,INFLUENCER_PLATFORMS,0.85
Socialpruf,socialpruf.com,,,INFLUENCER_PLATFORMS,0.75
Xley AI,xley.ai,,,INFLUENCER_PLATFORMS,0.8
Bengal Reach,bengalreach.com,,,INFLUENCER_PLATFORMS,0.8
ZZP,ziziproject.vn,,,INFLUENCER_PLATFORMS,0.8
CULT CREATIVE,cultcreativeasia.com,,,INFLUENCER_PLATFORMS,0.8
Polele,polele.co,,,INFLUENCER_PLATFORMS,0.8
Tikit Marketing Management,tikit.ae,,,IM_FIRST_AGENCIES,1.0
Socially Powerful,sociallypowerful.com,,,IM_FIRST_AGENCIES,1.0
StreamElements,streamelements.com,,,INFLUENCER_PLATFORMS,0.7
The Goat Agency,goatagency.com,,,IM_FIRST_AGENCIES,1.0
VIZZ Agency,vizz-agency.com,,,IM_FIRST_AGENCIES,1.0
The Secret Society,the-secret-society.com,,,INFLUENCER_PLATFORMS,0.7
Get Hyped Media,gethypedmedia.com,,,IM_FIRST_AGENCIES,1.0
Our Own Brand,ourownbrand.co,,,IM_FIRST_AGENCIES,1.0
AGENCIA MASALA,agenciamasala.com,,,IM_FIRST_AGENCIES,1.0
4Bridge,4bridge.org,,,IM_FIRST_AGENCIES,1.0
Keepers | Influencia creativa,keepers.es,,,IM_FIRST_AGENCIES,1.0
