name,domain,country,city,industry,estimated_num_employees,linkedin_url,keywords
Flourish Management,flourishmgmt.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/flourish-management,
The Media Exchange,themediaexchange.com,United Kingdom,London,,,http://www.linkedin.com/company/themediaexchange,
Settr,settr.com,United Kingdom,London,,,http://www.linkedin.com/company/settr,
Hypebuzz,hypebuzzhq.com,United Kingdom,London,,,http://www.linkedin.com/company/hypebuzz,
Social Circle,socialcircle.media,United Kingdom,London,,,http://www.linkedin.com/company/social-circle,
Sweet Gen Media,sweetgenmedia.com,United Kingdom,Highcliffe,,,http://www.linkedin.com/company/sweet-gen-media,
Cogia Intelligence,cogia.de,Germany,Frankfurt,,,http://www.linkedin.com/company/cogia-intelligence,
ADENION GmbH,adenion.de,Germany,Grevenbroich,,,http://www.linkedin.com/company/adenion-gmbh,
Social Playground,socialplayground.io,France,Paris,,,http://www.linkedin.com/company/socialplayground,
freeskout- 360° Influencer Marketing Platform,freeskout.com,India,New Delhi,,,http://www.linkedin.com/company/break-that-box-giftwise,
DRIM,drim.one,India,Bengaluru,,,http://www.linkedin.com/company/drim-platform,
"Katha - Sharing Stories, Scaling Impact",katha-ads.com,India,Kochi,,,http://www.linkedin.com/company/kathaads,
Adintors,adintors.com,India,Ahmedabad,,,http://www.linkedin.com/company/adintors,
SocialTAG,socialtagindia.com,India,Mumbai,,,http://www.linkedin.com/company/socialtag-india,
Mobfountain Media,mobfountain.com,India,Noida,,,http://www.linkedin.com/company/mobfountain-media,
Optiminastic,optiminastic.com,India,Mumbai,,,http://www.linkedin.com/company/optiminastic,
DesignMechanics,dmipl.com,India,Noida,,,http://www.linkedin.com/company/dmipl,
Snack Media,snackmedia.io,India,Noida,,,http://www.linkedin.com/company/snack--media,
Cre8r.ai,cre8r.ai,India,Gurugram,,,http://www.linkedin.com/company/cre8r-ai,
Cloutflow,cloutflow.com,India,Gurugram,,,http://www.linkedin.com/company/cloutflow,
Momspresso,momspresso.com,India,,,,http://www.linkedin.com/company/momspresso,
Aer Media,aer.media,India,,,,http://www.linkedin.com/company/aer-media,
FLICKZILLA ENTERTAINMENT,flickzilla.in,India,Sonipat,,,http://www.linkedin.com/company/flickzilla-entertainment,
The Vibes Network,thevibes.network,India,New Delhi,,,http://www.linkedin.com/company/the-vibes-network-in,
Opportune,opportune.co.in,India,,,,http://www.linkedin.com/company/opportune-ventures,
ClanConnect,clanconnect.ai,India,,,,http://www.linkedin.com/company/clanconnect,
Contentify,contentify.co.in,India,Gurugram,,,http://www.linkedin.com/company/contentify,
VURoll,vuroll.com,India,Gurugram,,,http://www.linkedin.com/company/vurollofficial,
Galvor,galvor.ai,India,,,,http://www.linkedin.com/company/galvorai,
Vinus Group,vinusgroup.in,India,New Delhi,,,http://www.linkedin.com/company/vinus-group,
SK Entertainment,skentertainment.in,India,,,,http://www.linkedin.com/company/sk-entertainment-pvt-ltd,
Fabulate,fabulate.com.au,Australia,Sydney,,,http://www.linkedin.com/company/fabulate,
Digital Embassy Influencer Marketing,digitalembassy.es,Spain,,,,http://www.linkedin.com/company/digitalembassy-influencermarketing,
The Secret Society,the-secret-society.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/thesecretsociety,
iShout Media,ishout.ae,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/ishout-media,
Swavy,swavy.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/swavyapp,
Reachr,reachrsocial.com,United Arab Emirates,,,,http://www.linkedin.com/company/reachrsocial,
Susurrus,susurrus.io,United Arab Emirates,,,,http://www.linkedin.com/company/susurrus,
Diva Talent Production and Event,divadubai.com,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/divadubaimodels,
Starlyst,starlyst.co,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/starlyst,
"Try-gc.com ""Grand Community""",try-gc.com,Saudi Arabia,Riyadh,,,http://www.linkedin.com/company/trygcofficial,
Co-Influencer,co-influencer.com,Turkey,Istanbul,,,http://www.linkedin.com/company/coinfluencerapp,
clipkit Turkey,clipkit.com.tr,Turkey,,,,http://www.linkedin.com/company/clipkitturkey,
Air,air.com.vc,Brazil,Sao Paulo,,,http://www.linkedin.com/company/air-com-vc,
IWM,iwm.digital,Brazil,Sao Paulo,,,http://www.linkedin.com/company/iwm-agency,
KR3W,kr3w.gg,Brazil,,,,http://www.linkedin.com/company/kr3w,
ELEV-C,elev-c.com,Brazil,Caruaru,,,http://www.linkedin.com/company/elev-c,
Estudio Merca | Ecommerce & Digital Marketing Agency,estudiomerca.mx,Mexico,Leon,,,http://www.linkedin.com/company/estudiomerca,
Nuggit,go-nuggit.com,United Kingdom,London,,,http://www.linkedin.com/company/go-nuggit,
Outfts (Acquired by Amaze),outfts.com,United Kingdom,London,,,http://www.linkedin.com/company/outfts,
Pro & Me,proandme.de,Germany,Berlin,,,http://www.linkedin.com/company/proandme,
Picstagraph GmbH,picstagraph.com,Germany,Mainz,,,http://www.linkedin.com/company/picstagraph-gmbh,
Ramdam,ramd.am,France,Paris,,,http://www.linkedin.com/company/ramdamapp,
Btrend,btrendapp.com,France,Paris,,,http://www.linkedin.com/company/btrend,
Sampleo (Webedia Creators),webedia-creators.com,France,Levallois-Perret,,,http://www.linkedin.com/company/sampleo-sas,
Influencer,influencer.uk,United Kingdom,,,,http://www.linkedin.com/company/influencer,
audience2media.com,audience2media.com,United Kingdom,London,,,http://www.linkedin.com/company/704867,
Influfinder,influencersinc.com,United Kingdom,,,,http://www.linkedin.com/company/influfinder-com,
The People Branding Company,thepeoplebrandingcompany.com,Germany,Munich,,,http://www.linkedin.com/company/the-people-branding-company,
VerSe Innovation,verse.in,India,Bengaluru,,,http://www.linkedin.com/company/verse-innovation,
Chtrbox,chtrbox.com,India,Mumbai,,,http://www.linkedin.com/company/chtrbox,
Boxedge Solutions - Turning Brands Into Legends.,boxedge.co.in,India,Bengaluru,,,http://www.linkedin.com/company/outoftheboxedge,
Svahub Media,svahubmedia.com,India,Ernakulam,,,http://www.linkedin.com/company/svahubmedia,
Mindbuzz,mindbuzz.in,India,New Delhi,,,http://www.linkedin.com/company/mindbuzzdigital,
Fancall Private Limited,fancall.in,India,Ahmedabad,,,http://www.linkedin.com/company/fancall-private-limited,
BITS Goa Consulting Club (BGCC),bgccbitsgoa.com,India,Mormugao,,,http://www.linkedin.com/company/bits-goa-consulting-club,
Makenoise,makenoise.com,Spain,Madrid,,,http://www.linkedin.com/company/makenoise,
Continuum Media L.L.C-FZ,continuummedia.me,United Arab Emirates,Dubai,,,http://www.linkedin.com/company/the-continuum-media,
Hyperiser,hyperiser.com,Turkey,Istanbul,,,http://www.linkedin.com/company/hyperiser,
Infleux,infleux.co,Brazil,Barueri,,,http://www.linkedin.com/company/infleux,
Brandwatch,crimsonhexagon.com,United Kingdom,London,,,http://www.linkedin.com/company/brandwatch,
Greenlight,bravebison.com,United Kingdom,,,,http://www.linkedin.com/company/brave-bison,
Pretty Little Marketer,prettylittlemarketer.com,United Kingdom,London,,,http://www.linkedin.com/company/prettylittlemarketer,
Favola,favola.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/favolaagency,
Mobile Streams PLC,mobilestreams.com,United Kingdom,London,,,http://www.linkedin.com/company/mobile-streams,
Cision UK,cision.co.uk,United Kingdom,London,,,http://www.linkedin.com/company/cision-uk,
We Are Hydrogen,wearehydrogen.com,United Kingdom,Glasgow,,,http://www.linkedin.com/company/wearehydrogen,
OST,ostmarketing.com,United Kingdom,Cambridge,,,http://www.linkedin.com/company/10804189,
Dizplai,dizplai.com,United Kingdom,Manchester,,,http://www.linkedin.com/company/dizplai,
Openstage,openstage.live,United Kingdom,London,,,http://www.linkedin.com/company/openstagelive,
socialed.,socialedagency.com,United Kingdom,,,,http://www.linkedin.com/company/socialedagency,
Antler Social,antlersocial.com,United Kingdom,London,,,http://www.linkedin.com/company/antlersocial,
Blue Robot,bluerobot.com,United Kingdom,,,,http://www.linkedin.com/company/blue-robot,
The Hook,bravebison.io,United Kingdom,,,,http://www.linkedin.com/company/brave-bison,
Part Three Digital,partthreedigital.com,United Kingdom,Belfast,,,http://www.linkedin.com/company/part-three-digital,
Rising Ballers,risingballers.co,United Kingdom,,,,http://www.linkedin.com/company/risingballers,
