domain,company_name,segment,confidence
tiktal.co,TIKTAL,IM_FIRST_AGENCIES,0.5
mertmedia.com.tr,Mert Media,IM_FIRST_AGENCIES,0.7
equinoxmg.com,Equinox Management Group LLP,IM_FIRST_AGENCIES,0.9
nanoinflu.com,NanoInflu,INFLUENCER_PLATFORMS,0.5
tenlive.net,tenlive digital,OTHER,0.7
tellinfluence.com,Tell Influence,IM_FIRST_AGENCIES,1
influencermatchmaker.co.uk,Influencer Matchmaker,IM_FIRST_AGENCIES,1
londoninfluenceragency.co.uk,London Influencer Agency,OTHER,0.5
influicity.com,Influicity,OTHER,1
findyourinfluencer.co.uk,Find Your Influencer,IM_FIRST_AGENCIES,1
persketing.com,Persketing,IM_FIRST_AGENCIES,1
kenziesocial.com,Kenzie Social,IM_FIRST_AGENCIES,0.5
onlypersketing.com,Only Persketing,IM_FIRST_AGENCIES,0.5
maroccain-influencer-agency.com,Maroccain Influencer Agency,IM_FIRST_AGENCIES,0.5
boostmakers.agency,Boostmakers,IM_FIRST_AGENCIES,1
nalagency.es,Nala Agency,OTHER,1
influenter.pl,Influenter,IM_FIRST_AGENCIES,0.5
roiinfluencer.com,ROI Influencer,INFLUENCER_PLATFORMS,0.5
globalugcagency.com,Global UGC Agency,IM_FIRST_AGENCIES,0.5
goglobal.agency,Go Global Agency,OTHER,0.5
bullaco.com,Bulla Co,IM_FIRST_AGENCIES,0.5
yamammi.com,Yamammi,IM_FIRST_AGENCIES,0.8
underonemarketing.com,Under One,OTHER,0.5
ugclatam.io,UGC LATAM,INFLUENCER_PLATFORMS,0.5
dutch-influencer-agency.nl,Dutch Influencer Agency,IM_FIRST_AGENCIES,1
allstars.id,Allstars Indonesia,IM_FIRST_AGENCIES,0.85
2ta.io,2TA.IO,INFLUENCER_PLATFORMS,0.95
avatars.international,Avatars International,INFLUENCER_PLATFORMS,0.92
kulturepanel.com,Kulture Panel,INFLUENCER_PLATFORMS,0.9
poptrek.com,Poptrek,INFLUENCER_PLATFORMS,0.8
socialplayground.io,Social Playground,IM_FIRST_AGENCIES,0.7
strimki.agency,Strimki,IM_FIRST_AGENCIES,0.7
museagency.ch,MUSE MEDIA,IM_FIRST_AGENCIES,0.7
shinetalentgroup.com,Shine Talent Group,IM_FIRST_AGENCIES,0.5
m1rai.com,MIRAI by Streams Charts,IM_FIRST_AGENCIES,1
stride-social.com,Stride Social,IM_FIRST_AGENCIES,0.5
sobirds.com,SoBirds,IM_FIRST_AGENCIES,0.7
talentvillage.com,Talent Village,IM_FIRST_AGENCIES,0.5
rebelbuzz.com,Rebelbuzz,OTHER,0.5
musefind.com,MuseFind,INFLUENCER_PLATFORMS,0.5
rizzo.media,Rizzo Media,IM_FIRST_AGENCIES,0.7
kalucreative.com,KALU Creative,IM_FIRST_AGENCIES,0.95
surgemedia.co.in,Surge Media,IM_FIRST_AGENCIES,0.88
athios.ai,Athios,IM_FIRST_AGENCIES,0.7
peronmedya.com,Peron Medya,IM_FIRST_AGENCIES,0.7
lever.io,Lever - Marketplace for Companies and Web3 KOLs,INFLUENCER_PLATFORMS,0.8
alfaleadsgroup.com,Alfaleads Group,AFFILIATE_PERFORMANCE,0.7
allersparks.com,Sparks by Aller Media,IM_FIRST_AGENCIES,0.8
moxymgt.com,Moxy Management,IM_FIRST_AGENCIES,0.75
digitalminds.com,Digital Minds Ltd,IM_FIRST_AGENCIES,0.9
gladucame.in,GLAD U CAME PVT LTD.,IM_FIRST_AGENCIES,0.7
limelighthq.com,Limelight,INFLUENCER_PLATFORMS,0.8
mfield.com.br,MField,IM_FIRST_AGENCIES,0.7
influencer-impact.com,Influencer Impact,INFLUENCER_PLATFORMS,0.5
masterhooks.com,Master Hooks,IM_FIRST_AGENCIES,0.5
kinc.com,Kinc,OTHER,1
influee.co,Influee,INFLUENCER_PLATFORMS,1
wi-influencer.de,wi-influencer,IM_FIRST_AGENCIES,0.5
efluenz.eu,efluenz,IM_FIRST_AGENCIES,0.5
departd.de,DEPARTD,IM_FIRST_AGENCIES,0.75
q.digital,Q.Digital,IM_FIRST_AGENCIES,0.7
kreatornow.com,Kreatornow INC.,IM_FIRST_AGENCIES,0.95
silo.asia,SILO,IM_FIRST_AGENCIES,0.9
vp-digital.com,VP Digital Agency,OTHER,0.85
lab543.com,JIWOO COMPANY,IM_FIRST_AGENCIES,0.9
mbltechnologies.in,MBL Technologies,OTHER,0.7
madify.in,Madify,IM_FIRST_AGENCIES,0.95
ybragency.es,YBR Agency,IM_FIRST_AGENCIES,0.5
thedigibee.in,The DigiBee Network,IM_FIRST_AGENCIES,0.85
hawkvuestudios.com,Hawkvue Studios,OTHER,0.65
socialsoup.com,Social Soup (Australia & NZ),IM_FIRST_AGENCIES,0.95
rzr.com,Aarki,INFLUENCER_PLATFORMS,0.9
getmerank.com,Get Me Rank - 360° Digital Marketing Agency,OTHER,0.65
cleveradvertising.com,Clever Advertising,IM_FIRST_AGENCIES,0.8
digitalexchange.com.tr,Digital Exchange,OTHER,0.85
ogilvy.africa,Ogilvy Africa Network,OTHER,0.7
devoutgrowth.com,Devout Growth,OTHER,0.85
gamesight.io,Gamesight,INFLUENCER_PLATFORMS,0.9
dreamizegroup.com,Dreamize Digital Marketing Agency,OTHER,0.7
aaa.agency,AAA Agency,influencer marketing & special projects,IM_FIRST_AGENCIES
nanobuzz.agency,Nanobuzz,IM_FIRST_AGENCIES,0.5
socialstudies.io,Social Studies,IM_FIRST_AGENCIES,0.5
pop-star.me,PopStar,INFLUENCER_PLATFORMS,0.95
risealiveinfluencermarketing.com,RiseAlive Infotech,IM_FIRST_AGENCIES,1
totem-experience.com,TOTEM EXPERIENCE,IM_FIRST_AGENCIES,0.9
denaromedia.in,Denaro Media,OTHER,0.85
ignition.agency,Ignition Key Agency,IM_FIRST_AGENCIES,0.9
thecatalyst.gg,The Catalyst Agency,OTHER,0.5
digitaladarsh.com,Digital Adarsh,IM_FIRST_AGENCIES,0.85
anycolor.co.jp,ANYCOLOR Inc.,IM_FIRST_AGENCIES,0.95
clksdigital.com,CLKS Digital,INFLUENCER_PLATFORMS,0.9
socializr.be,Socializr,IM_FIRST_AGENCIES,0.7
vogz.io,Vogz,IM_FIRST_AGENCIES,0.75
tikit.ae,Tikit,IM_FIRST_AGENCIES,1
glistenmgmt.com,glisten mgmt,IM_FIRST_AGENCIES,0.5
lightricks.com,Lightricks,INFLUENCER_PLATFORMS,0.95
grynstamedia.com,Grynsta Media,IM_FIRST_AGENCIES,0.8
thepeoplebrandingcompany.com,The People Branding Company,IM_FIRST_AGENCIES,0.92
socialchain.com,Social Chain,IM_FIRST_AGENCIES,0.5
socialand.com.tr,Socialand,IM_FIRST_AGENCIES,0.9
rossmanmedia.com,Rossman Media,IM_FIRST_AGENCIES,0.7
famous.club,One Impression,INFLUENCER_PLATFORMS,0.8
artisancouncil.com,Artisan Council,IM_FIRST_AGENCIES,0.5
pontefirm.com,Ponte Firm,IM_FIRST_AGENCIES,0.7
frontstage.gr,Frontstage Entertainment,IM_FIRST_AGENCIES,0.7
castimages.com,Cast Images Model & Talent Agency,IM_FIRST_AGENCIES,0.9
sociohub.media,Sociohub Media,IM_FIRST_AGENCIES,0.9
mgcglobalgroup.com,MGC Global Group,OTHER,0.85
c-k.com,Cramer-Krasselt,OTHER,0.7
theechohouse.com,EchoHouse Africa,OTHER,0.9
nasmedia.co.kr,Nasmedia,OTHER,0.65
goto.game,goto.game,IM_FIRST_AGENCIES,0.9
createdbyhypr.com,HYPR,IM_FIRST_AGENCIES,0.8
codtechitsolutions.com,CODTECH IT SOLUTIONS,OTHER,0.95
seekmedia.io,Seekmedia Agency,IM_FIRST_AGENCIES,0.7
thinkora.ae,Thinkora media,IM_FIRST_AGENCIES,0.7
siblingsmediasea.com,Siblings Media,IM_FIRST_AGENCIES,0.7
incrementa.la,Incrementa,IM_FIRST_AGENCIES,0.7
futursquad.com,Futur Squad,IM_FIRST_AGENCIES,0.7
hellofranses.com,HelloFranses!,IM_FIRST_AGENCIES,0.8
shout.market,SHOUT.GROUP,IM_FIRST_AGENCIES,0.8
instajet.io,InstaJet.io,INFLUENCER_PLATFORMS,0.85
zoolaraads.com,ZoolaraAds,INFLUENCER_PLATFORMS,0.7
infinite-creative.co,Infinite Creative,IM_FIRST_AGENCIES,0.8
creatorsagency.co,Creators Agency,IM_FIRST_AGENCIES,0.8
nearcreative.co,Near Creative,IM_FIRST_AGENCIES,0.7
matamko.com,matamko,IM_FIRST_AGENCIES,0.7
theagency.com,theAGENCYdotcom,IM_FIRST_AGENCIES,0.7
sociata.com,Sociata,INFLUENCER_PLATFORMS,0.8
acceso.com,Acceso,OTHER,0.7
audiense.com,Audiense,OTHER,0.85
groupm.com,GroupM Spain,OTHER,0.9
fiftyandfive.com,fifty & five,OTHER,0.9
hlxusa.com,HLX,IM_FIRST_AGENCIES,0.85
shishamdigital.com,Shisham Digital,OTHER,0.6
vhub.ai,vHub.ai,INFLUENCER_PLATFORMS,0.95
bamboo.app,Bamboo,INFLUENCER_PLATFORMS,0.9
spiketrap.io,Spiketrap,OTHER,0.65
amiloai.com,Amilo AI Pvt Ltd.,OTHER,0.7
starbuzz.ai,Starbuzz.ai,INFLUENCER_PLATFORMS,0.95
usemake.com,MAKE - Banking for creators,OTHER,0.7
sharksfluence.com,Sharksfluence,IM_FIRST_AGENCIES,0.8
hypefy.ai,Hypefy,INFLUENCER_PLATFORMS,0.95
evolusen.com,Evolusen,INFLUENCER_PLATFORMS,0.5
prprophet.ai,PRophet North America,INFLUENCER_PLATFORMS,0.9
themarketingman.in,THE MARKETING MAN,IM_FIRST_AGENCIES,0.7
bulba.app,Bulba,INFLUENCER_PLATFORMS,0.95
twiva.com,Twiva,INFLUENCER_PLATFORMS,0.9
clevergroup.vn,CleverGroup Corp,INFLUENCER_PLATFORMS,0.9
sehloiro.com,Grupo Sehloiro,IM_FIRST_AGENCIES,0.9
localaway.com,LocalAway,INFLUENCER_PLATFORMS,0.9
anheuser-busch.com,draftLine USA,OTHER,0.85
breakmkt.com,BREAK,INFLUENCER_PLATFORMS,0.75
popfablab.com,PopFabLab,INFLUENCER_PLATFORMS,0.9
gethookd.io,hookd,IM_FIRST_AGENCIES,0.8
poqet.in,Poqet,OTHER,0.85
