domain,company_name,segment,confidence
sociallypowerful.com,Socially Powerful,IM_FIRST_AGENCIES,1
imagency.com,imagency,IM_FIRST_AGENCIES,0.5
banoffeemedia.com,Banoffee Media,IM_FIRST_AGENCIES,0.9
adclusive.se,Adclusive,IM_FIRST_AGENCIES,0.5
amiesocial.com,Amie,IM_FIRST_AGENCIES,0.7
pgwmedia.co.uk,,IM_FIRST_AGENCIES,0.9
1ofcreators.com,,IM_FIRST_AGENCIES,0.9
goatagency.com,The Goat Agency,IM_FIRST_AGENCIES,1
scrollstop.com,SCROll STOP,IM_FIRST_AGENCIES,0.7
symsdigital.co.uk,,IM_FIRST_AGENCIES,0.85
bazzaal.com,BAZZAAL,IM_FIRST_AGENCIES,0.95
puffmedia.co,Puff Media,IM_FIRST_AGENCIES,0.9
teamkozen.com,,IM_FIRST_AGENCIES,0.9
nvertical.io,,IM_FIRST_AGENCIES,0.9
imayln.com,IM ĀYLN,IM_FIRST_AGENCIES,0.5
monk-e.in,Monk-E,IM_FIRST_AGENCIES,0.95
stride-social.com,Stride Social,IM_FIRST_AGENCIES,0.5
onyxco.io,Onyx Commerce,IM_FIRST_AGENCIES,0.95
z.media,,IM_FIRST_AGENCIES,0.9
socialstudies.io,Social Studies,IM_FIRST_AGENCIES,0.5
bfluence.com.br,bfluence,IM_FIRST_AGENCIES,0.85
socioimpulse.com,Socio Impulse,IM_FIRST_AGENCIES,0.7
exellate.com,,IM_FIRST_AGENCIES,0.9
peargrowth.com,,IM_FIRST_AGENCIES,0.9
brandmanic.com,Brandmanic,IM_FIRST_AGENCIES,1
deodato.co,Deodato,IM_FIRST_AGENCIES,0.7
tatam.digital,TATAM Digital,IM_FIRST_AGENCIES,0.8
artisancouncil.com,Artisan Council,IM_FIRST_AGENCIES,0.5
mightyjoy.com,Mighty Joy,IM_FIRST_AGENCIES,0.7
tok.agency,,IM_FIRST_AGENCIES,0.9
mrndigital.in,MRN Digital,IM_FIRST_AGENCIES,0.7
girlillamarketing.com,Girlilla Marketing,IM_FIRST_AGENCIES,0.5
socialchain.com,Social Chain,IM_FIRST_AGENCIES,0.5
kreatifmedya.net,,IM_FIRST_AGENCIES,0.85
mintyad.com,,IM_FIRST_AGENCIES,0.75
brkfst.io,brkfst,IM_FIRST_AGENCIES,0.5
yamammi.com,Yamammi,IM_FIRST_AGENCIES,0.8
creatorsagency.co,Creators Agency,IM_FIRST_AGENCIES,0.9
fullsend.be,,IM_FIRST_AGENCIES,0.9
returnoncreators.com,Return On Creators,IM_FIRST_AGENCIES,0.5
freshinfluence.co.uk,,IM_FIRST_AGENCIES,0.95
contentgeneration.ae,,IM_FIRST_AGENCIES,0.9
konsortsocial.com,,IM_FIRST_AGENCIES,0.9
talenttack.com,,IM_FIRST_AGENCIES,0.9
takefluence.com,Takefluence,IM_FIRST_AGENCIES,0.5
hypedmgt.co,,IM_FIRST_AGENCIES,0.9
divo.in,Divo,IM_FIRST_AGENCIES,0.7
besocial.dk,BeSocial,IM_FIRST_AGENCIES,0.9
social4thewin.com,,IM_FIRST_AGENCIES,0.9
spaxads.com,Spaxads Digital Media Pvt Ltd.,IM_FIRST_AGENCIES,0.8
influenceme.de,Influenceme,IM_FIRST_AGENCIES,0.5
theshelf.com,The Shelf,IM_FIRST_AGENCIES,0.5
centus.co,Centus,IM_FIRST_AGENCIES,0.9
rockinsocialmediaagency.com,,IM_FIRST_AGENCIES,0.9
team5pm.com,team5pm,IM_FIRST_AGENCIES,0.5
zambianinfluencers.com,,IM_FIRST_AGENCIES,0.9
mavenreach.com,,IM_FIRST_AGENCIES,0.9
digitalplannet.in,DIGITAL PLANET,IM_FIRST_AGENCIES,0.7
adronik.com,,IM_FIRST_AGENCIES,0.85
sonderco.com,,IM_FIRST_AGENCIES,0.9
socialemotion.de,Social Emotion GmbH,IM_FIRST_AGENCIES,0.85
nickguillory.com,,IM_FIRST_AGENCIES,0.8
brightform.agency,,IM_FIRST_AGENCIES,0.9
3rdrock.media,,IM_FIRST_AGENCIES,0.9
wearefirstbase.com,,IM_FIRST_AGENCIES,0.85
elevatesocialcommerce.com,,IM_FIRST_AGENCIES,0.9
paragonsocialcommerce.com,Paragon Social Commerce,IM_FIRST_AGENCIES,0.95
cr8tornow.com,,IM_FIRST_AGENCIES,0.9
miseagency.com,,IM_FIRST_AGENCIES,0.9
kollective.world,,IM_FIRST_AGENCIES,0.9
hauz.global,,IM_FIRST_AGENCIES,0.9
frij.co,,IM_FIRST_AGENCIES,0.9
brandzup.media,,IM_FIRST_AGENCIES,0.9
plasticpanda.com.br,,IM_FIRST_AGENCIES,0.9
affilion.co.uk,,IM_FIRST_AGENCIES,0.9
longtermcollab.com,,IM_FIRST_AGENCIES,0.9
scalethecreator.com,Scale The Creator,IM_FIRST_AGENCIES,0.9
engagemena.com,,IM_FIRST_AGENCIES,0.7
freshtracksmarketing.com,,IM_FIRST_AGENCIES,0.9
volyat.com,,IM_FIRST_AGENCIES,0.9
xposure.se,ARCO,IM_FIRST_AGENCIES,0.5
fluencewolf.com,,IM_FIRST_AGENCIES,0.9
creatordeck.com,Creator Deck,IM_FIRST_AGENCIES,0.95
social-lab.eu,,IM_FIRST_AGENCIES,0.85
skaisocial.com,,IM_FIRST_AGENCIES,0.85
theunseenagency.com,Unseen Agency,IM_FIRST_AGENCIES,0.95
blackflag.nyc,,IM_FIRST_AGENCIES,0.85
mesoo.co.uk,,IM_FIRST_AGENCIES,0.95
system.social,,IM_FIRST_AGENCIES,0.85
plugcollective.io,,IM_FIRST_AGENCIES,0.85
roseandcomedia.com,,IM_FIRST_AGENCIES,0.9
grail-talent.com,Grail Talent,IM_FIRST_AGENCIES,0.7
crownsponsor.com,,IM_FIRST_AGENCIES,0.9
sohvasocial.com,,IM_FIRST_AGENCIES,0.95
creatorlabz.com,,IM_FIRST_AGENCIES,0.9
peretzcollective.com,,IM_FIRST_AGENCIES,0.9
unhype.co.uk,,IM_FIRST_AGENCIES,0.9
mycollabstory.com,,IM_FIRST_AGENCIES,0.75
bkey-media.it,,IM_FIRST_AGENCIES,0.9
coletive.com.br,,IM_FIRST_AGENCIES,0.9
slopesgrowth.com,,IM_FIRST_AGENCIES,0.7
friendsinreality.com,Friends in Reality,IM_FIRST_AGENCIES,0.9
digitalminds.com,Digital Minds Ltd,IM_FIRST_AGENCIES,0.9
bluerobingroup.com,,IM_FIRST_AGENCIES,0.85
orionxmedia.com,,IM_FIRST_AGENCIES,0.9
conversationnel.fr,Conversationnel,IM_FIRST_AGENCIES,0.85
builtorganic.ro,,IM_FIRST_AGENCIES,0.85
starx.media,,IM_FIRST_AGENCIES,0.9
disishiphop.com,,IM_FIRST_AGENCIES,0.85
forgenew.co,,IM_FIRST_AGENCIES,0.9
livecraftglobal.com,,IM_FIRST_AGENCIES,0.9
blogsforbrands.com,,IM_FIRST_AGENCIES,0.85
thundrr.co,,IM_FIRST_AGENCIES,0.95
stormstudios.co,,IM_FIRST_AGENCIES,0.9
rocketplace.es,Rocketplace,IM_FIRST_AGENCIES,0.85
celbe.eu,,IM_FIRST_AGENCIES,0.9
vidzy.in,,IM_FIRST_AGENCIES,0.85
renoirassessoria.com,,IM_FIRST_AGENCIES,0.9
wearelit.co,LIT,IM_FIRST_AGENCIES,0.9
gassed.com,GASSED,IM_FIRST_AGENCIES,0.85
collabwish.com,,IM_FIRST_AGENCIES,0.9
brimblemedia.com,,IM_FIRST_AGENCIES,0.65
admaddigital.com,,IM_FIRST_AGENCIES,0.75
socialyrise.com,,IM_FIRST_AGENCIES,0.9
weirdmedia.com,,IM_FIRST_AGENCIES,0.9
prvnmedia.com,PRVN Media,IM_FIRST_AGENCIES,0.85
paypic.es,Paypic Agency,IM_FIRST_AGENCIES,0.95
bettercollab.social,BetterCollab,IM_FIRST_AGENCIES,0.9
butterflyagency.io,,IM_FIRST_AGENCIES,0.88
tokshopagency.com,,IM_FIRST_AGENCIES,0.9
nextwave-talent.com,,IM_FIRST_AGENCIES,0.9
tiktokshopinsiders.com,,IM_FIRST_AGENCIES,0.9
oddduckmg.com,,IM_FIRST_AGENCIES,0.9
influrating.com,Influrating,IM_FIRST_AGENCIES,0.5
goufactory.com,,IM_FIRST_AGENCIES,0.9
creatorev.com,,IM_FIRST_AGENCIES,0.9
scaletts.com,,IM_FIRST_AGENCIES,0.95
nomadintegratedmedia.com,,IM_FIRST_AGENCIES,0.9
culturegenesis.com,,IM_FIRST_AGENCIES,0.9
talentmedia.tv,,IM_FIRST_AGENCIES,0.9
pinnaklemedia.com,,IM_FIRST_AGENCIES,0.9
kriptofati.com,,IM_FIRST_AGENCIES,0.9
mainonemedia.com,,IM_FIRST_AGENCIES,0.9
nobe.ca,,IM_FIRST_AGENCIES,0.85
maverickcreative.net,,IM_FIRST_AGENCIES,0.9
adshub.de,,IM_FIRST_AGENCIES,0.85
basakmedya.com,,IM_FIRST_AGENCIES,0.85
thetopscout.com,,IM_FIRST_AGENCIES,0.75
milanmedia.co,Milan Media,IM_FIRST_AGENCIES,0.9
newmcn.com,,IM_FIRST_AGENCIES,0.95
amplifyugc.co,Amplify,IM_FIRST_AGENCIES,0.9
zeth.nl,,IM_FIRST_AGENCIES,0.9
withbeelive.com,,IM_FIRST_AGENCIES,0.9
augmentum-media.com,,IM_FIRST_AGENCIES,0.95
unreasonable.agency,,IM_FIRST_AGENCIES,0.85
clickmedia.group,,IM_FIRST_AGENCIES,0.9
boostengines.com,,IM_FIRST_AGENCIES,0.9
nibble.studio,,IM_FIRST_AGENCIES,0.9
wellspiritcollective.com,,IM_FIRST_AGENCIES,0.9
contentiamo.com,,IM_FIRST_AGENCIES,0.9
becker-editorial.com,,IM_FIRST_AGENCIES,0.85
avanturistmarketing.com,,IM_FIRST_AGENCIES,0.85
vivianagency.com,,IM_FIRST_AGENCIES,0.9
sundaymatinee.com,,IM_FIRST_AGENCIES,0.85
hyperfocusalchemedia.agency,,IM_FIRST_AGENCIES,0.9
