domain,company_name,segment,confidence
speekz.app,,INFLUENCER_PLATFORMS,0.9
creativelysquared.com,Creatively Squared,INFLUENCER_PLATFORMS,0.75
geniepot.ma,,INFLUENCER_PLATFORMS,0.9
hypebuzzhq.com,,INFLUENCER_PLATFORMS,0.9
viqeo.tv,,INFLUENCER_PLATFORMS,0.85
youblicity.com,,INFLUENCER_PLATFORMS,0.85
click2commission.com,Click2Commission,INFLUENCER_PLATFORMS,0.7
starbuzz.ai,Starbuzz.ai,INFLUENCER_PLATFORMS,0.95
betandeal.com,BETANDEAL,INFLUENCER_PLATFORMS,0.9
warriorstreaming.com,,INFLUENCER_PLATFORMS,0.9
linkpizza.com,LinkPizza - Content & Influencer Marketplace,INFLUENCER_PLATFORMS,0.85
following.ae,Following,INFLUENCER_PLATFORMS,0.7
lolly.com,Lolly.com,INFLUENCER_PLATFORMS,0.9
zupotsu.com,,INFLUENCER_PLATFORMS,0.85
clipster.gg,Clipster,INFLUENCER_PLATFORMS,0.8
metapic.com,Metapic,INFLUENCER_PLATFORMS,0.95
growi.io,growi,INFLUENCER_PLATFORMS,1
belcomunicacao.com.br,,INFLUENCER_PLATFORMS,0.85
aha.inc,,INFLUENCER_PLATFORMS,0.9
limelighthq.com,Limelight,INFLUENCER_PLATFORMS,0.95
affilynetwork.com,,INFLUENCER_PLATFORMS,0.85
nurdd.club,,INFLUENCER_PLATFORMS,0.9
btbverse.xyz,,INFLUENCER_PLATFORMS,0.9
speaky.ai,,INFLUENCER_PLATFORMS,0.9
culturex.ai,CultureX,INFLUENCER_PLATFORMS,0.95
bamboo.app,Bamboo,INFLUENCER_PLATFORMS,0.9
rasooc.com,Rasooc,INFLUENCER_PLATFORMS,0.8
para.co,,INFLUENCER_PLATFORMS,0.9
nextcollab.in,,INFLUENCER_PLATFORMS,0.9
t2.world,,INFLUENCER_PLATFORMS,0.85
thetechiemedia.in,The Techie Media,INFLUENCER_PLATFORMS,0.9
galvor.ai,,INFLUENCER_PLATFORMS,0.9
acast.com,Podcast Facteurs Humains,INFLUENCER_PLATFORMS,0.9
uplify.app,,INFLUENCER_PLATFORMS,0.9
fanztar.com,,INFLUENCER_PLATFORMS,0.9
myax.me,,INFLUENCER_PLATFORMS,0.9
superusers.agency,,INFLUENCER_PLATFORMS,0.85
ycreator.carrd.co,YCreator,INFLUENCER_PLATFORMS,0.9
lenny.fm,,INFLUENCER_PLATFORMS,0.9
qoreups.com,,INFLUENCER_PLATFORMS,0.65
realclever.com,,INFLUENCER_PLATFORMS,0.9
chefadora.com,,INFLUENCER_PLATFORMS,0.85
nextgen-innovators.de,,INFLUENCER_PLATFORMS,0.9
goadgo.app,goadgo,INFLUENCER_PLATFORMS,0.95
tweetbinder.com,,INFLUENCER_PLATFORMS,0.85
qlaym.com,,INFLUENCER_PLATFORMS,0.85
tychon.app,tychon,INFLUENCER_PLATFORMS,0.9
feelter.com,,INFLUENCER_PLATFORMS,0.85
fetch-ireland.social,,INFLUENCER_PLATFORMS,0.85
narrateapp.com,Narrate,INFLUENCER_PLATFORMS,0.9
streamgenie.ai,,INFLUENCER_PLATFORMS,0.85
spliced.io,,INFLUENCER_PLATFORMS,0.95
influexer.com,Influexer,INFLUENCER_PLATFORMS,0.9
inlinkz.com,,INFLUENCER_PLATFORMS,0.7
themidgame.com,,INFLUENCER_PLATFORMS,0.9
hypergo.io,,INFLUENCER_PLATFORMS,0.85
gotchosen.ai,,INFLUENCER_PLATFORMS,0.9
tapdancedigital.io,,INFLUENCER_PLATFORMS,0.85
thetopspotonline.com,,INFLUENCER_PLATFORMS,0.85
passpass.com,,INFLUENCER_PLATFORMS,0.75
sosurge.com,,INFLUENCER_PLATFORMS,0.9
ssemble.com,,INFLUENCER_PLATFORMS,0.9
denebunu.com,,INFLUENCER_PLATFORMS,0.85
multiply.onl,,INFLUENCER_PLATFORMS,0.85
