domain,company_name,segment,confidence
ushoo.ai,,SOCIAL_COMMERCE,0.9
storyly.io,,SOCIAL_COMMERCE,0.85
fanera.co,,SOCIAL_COMMERCE,0.85
daftlink.com,,SOCIAL_COMMERCE,0.7
blogshop.io,,SOCIAL_COMMERCE,0.9
squadded.co,,SOCIAL_COMMERCE,0.9
livebuy.io,,SOCIAL_COMMERCE,0.95
shopstory.live,,SOCIAL_COMMERCE,0.9
twigbig.com,,SOCIAL_COMMERCE,0.9
openmall.ai,,SOCIAL_COMMERCE,0.6
outfitalliance.com,,SOCIAL_COMMERCE,0.9
lifeunites.us,,SOCIAL_COMMERCE,0.75
fashonation.com,,SOCIAL_COMMERCE,0.85
runship.com,,SOCIAL_COMMERCE,0.85
getibble.com,,SOCIAL_COMMERCE,0.85
begenuin.com,Genuin,SOCIAL_COMMERCE,0.85
flatlay.io,,SOCIAL_COMMERCE,0.9
planoly.com,,SOCIAL_COMMERCE,0.9
zukme.com,,SOCIAL_COMMERCE,0.9
hopinio.com,,SOCIAL_COMMERCE,0.85
madeinlive.fr,,SOCIAL_COMMERCE,0.95
miigle.com,,SOCIAL_COMMERCE,0.85
imox-app.com,,SOCIAL_COMMERCE,0.9
qorby.com,,SOCIAL_COMMERCE,0.85
coappblify.com,,SOCIAL_COMMERCE,0.85
streamplaza.com,,SOCIAL_COMMERCE,0.9
luup.com,,SOCIAL_COMMERCE,0.9
cocarting.com,,SOCIAL_COMMERCE,0.9
bowshock.app,,SOCIAL_COMMERCE,0.85
equazone.com,,SOCIAL_COMMERCE,0.9
ishtoapp.com,,SOCIAL_COMMERCE,0.9
taiwa.dk,,SOCIAL_COMMERCE,0.85
me.help,,SOCIAL_COMMERCE,0.9
hopp.bio,,SOCIAL_COMMERCE,0.9
cliqket.com,,SOCIAL_COMMERCE,0.9
moular.co.uk,,SOCIAL_COMMERCE,0.9
clapperapp.com,,SOCIAL_COMMERCE,0.9
brandactif.com,,SOCIAL_COMMERCE,0.85
manyvids.com,,SOCIAL_COMMERCE,0.9
laiza.live,Laiza Social Commerce,SOCIAL_COMMERCE,0.95
marketblack.ng,,SOCIAL_COMMERCE,0.7
sellz.bot,,SOCIAL_COMMERCE,0.9
raqk.co,,SOCIAL_COMMERCE,0.9
streamerce.live,,SOCIAL_COMMERCE,0.9
lin.kz,,SOCIAL_COMMERCE,0.85
bloop.eu,,SOCIAL_COMMERCE,0.75
shocial.in,,SOCIAL_COMMERCE,0.95
vidvi.com,Vidvi,SOCIAL_COMMERCE,0.95
getpinpoint.io,,SOCIAL_COMMERCE,0.9
whiteelephants.co.uk,,SOCIAL_COMMERCE,0.9
dotme.in,,SOCIAL_COMMERCE,0.9
onlysocial.io,,SOCIAL_COMMERCE,0.85
milyonada.com,MilyonAda,SOCIAL_COMMERCE,0.9
pedlar.store,,SOCIAL_COMMERCE,0.95
getvop.com,,SOCIAL_COMMERCE,0.9
stylmatch.com,,SOCIAL_COMMERCE,0.9
korramind.com,,SOCIAL_COMMERCE,0.9
tweepforce.co,,SOCIAL_COMMERCE,0.9
topdrwr.io,,SOCIAL_COMMERCE,0.95
addlist.app,,SOCIAL_COMMERCE,0.9
clipcart.io,,SOCIAL_COMMERCE,0.9
bulkmagic.co,,SOCIAL_COMMERCE,0.7
4x4.ai,,SOCIAL_COMMERCE,0.85
liveshopping4u.com,,SOCIAL_COMMERCE,0.9
seekrewards.com,,SOCIAL_COMMERCE,0.8
motom.me,Motom,SOCIAL_COMMERCE,0.9
alive.app.br,,SOCIAL_COMMERCE,0.95
gizmott.com,,SOCIAL_COMMERCE,0.9
candid.io,,SOCIAL_COMMERCE,0.9
unscamme.com,,SOCIAL_COMMERCE,0.9
ffili.com,,SOCIAL_COMMERCE,0.85
zokera.com,,SOCIAL_COMMERCE,0.95
padiapp.com.ng,,SOCIAL_COMMERCE,0.75
btwnapp.us,,SOCIAL_COMMERCE,0.85
benefitx.shop,,SOCIAL_COMMERCE,0.9
fluencypay.ai,,SOCIAL_COMMERCE,0.9
lookyloo.ai,,SOCIAL_COMMERCE,0.75
ranktwo.com,,SOCIAL_COMMERCE,0.95
pixurate.com,,SOCIAL_COMMERCE,0.9
mywish.is,,SOCIAL_COMMERCE,0.75
app.best,,SOCIAL_COMMERCE,0.9
sibs-app.com,,SOCIAL_COMMERCE,0.9
sellou.com,,SOCIAL_COMMERCE,0.9
cataloghub.in,,SOCIAL_COMMERCE,0.9
myclique.shop,,SOCIAL_COMMERCE,0.9
sasasasa.co,,SOCIAL_COMMERCE,0.85
gearup.market,,SOCIAL_COMMERCE,0.85
bask3t.app,,SOCIAL_COMMERCE,0.95
castlly.com,,SOCIAL_COMMERCE,0.9
mosnarcommunications.com,Mosnar Communications,SOCIAL_COMMERCE,0.85
connnecta.com.br,,SOCIAL_COMMERCE,0.88
oyah.com,,SOCIAL_COMMERCE,0.9
smartstories.io,,SOCIAL_COMMERCE,0.85
shopmessage.me,,SOCIAL_COMMERCE,0.9
veyra.co.in,Veyra,SOCIAL_COMMERCE,0.95
buzzfinitygroup.com,,SOCIAL_COMMERCE,0.9
euka.ai,,SOCIAL_COMMERCE,0.95
joinhippo.com,,SOCIAL_COMMERCE,0.9
woi.link,,SOCIAL_COMMERCE,0.75
alhena.ai,,SOCIAL_COMMERCE,0.85
enshrine.io,,SOCIAL_COMMERCE,0.9
emcee.com,,SOCIAL_COMMERCE,0.9
moboffer.com,,SOCIAL_COMMERCE,0.9
liverecover.com,,SOCIAL_COMMERCE,0.85
ectime.co,ectime,SOCIAL_COMMERCE,0.9
curd.network,,SOCIAL_COMMERCE,0.9
comtentglobal.com,,SOCIAL_COMMERCE,0.9
magnetiq.xyz,,SOCIAL_COMMERCE,0.9
celsentertainment.com,,SOCIAL_COMMERCE,0.85
socialfair.com,,SOCIAL_COMMERCE,0.95
etcpromotion.com,,SOCIAL_COMMERCE,0.9
