domain,company_name,segment,confidence
shopatbest.com,,AFFILIATE_PERFORMANCE,0.85
brightredbox.co.uk,,AFFILIATE_PERFORMANCE,0.85
kprmedia.in,,AFFILIATE_PERFORMANCE,0.9
digitaladmediaservices.com,,AFFILIATE_PERFORMANCE,0.9
trafficima.com,,AFFILIATE_PERFORMANCE,0.85
loyalize.com,,AFFILIATE_PERFORMANCE,0.9
jinxyads.com,,AFFILIATE_PERFORMANCE,0.85
adhooked.com,,AFFILIATE_PERFORMANCE,0.9
primelead.com.ua,,AFFILIATE_PERFORMANCE,0.9
maisontraffic.com,,AFFILIATE_PERFORMANCE,0.9
digitalmojito.com,,AFFILIATE_PERFORMANCE,0.85
feletipp.hu,,AFFILIATE_PERFORMANCE,0.85
wecallmedia.com,,AFFILIATE_PERFORMANCE,0.9
mediaglad.com,,AFFILIATE_PERFORMANCE,0.9
affilyou.com,,AFFILIATE_PERFORMANCE,0.9
clickcrewmedia.com,,AFFILIATE_PERFORMANCE,0.85
attribution-insights.com,,AFFILIATE_PERFORMANCE,0.85
interscopeads.com,,AFFILIATE_PERFORMANCE,0.85
fleximobileads.com,,AFFILIATE_PERFORMANCE,0.75
affpeak.com,,AFFILIATE_PERFORMANCE,0.9
amplifyr.com.au,,AFFILIATE_PERFORMANCE,0.85
ajamedia.pl,,AFFILIATE_PERFORMANCE,0.9
reviewzone.media,Review Zone,AFFILIATE_PERFORMANCE,0.9
bingage.com,,AFFILIATE_PERFORMANCE,0.85
awin.link,,AFFILIATE_PERFORMANCE,0.95
addensure.com,,AFFILIATE_PERFORMANCE,0.9
lospollos.com,,AFFILIATE_PERFORMANCE,0.9
lummerce.com,,AFFILIATE_PERFORMANCE,0.9
ventrix.io,,AFFILIATE_PERFORMANCE,0.9
loveaffiliates.co.uk,,AFFILIATE_PERFORMANCE,0.9
ogmobi.com,,AFFILIATE_PERFORMANCE,0.9
hyyzo.com,,AFFILIATE_PERFORMANCE,0.85
fatkiddeals.com,,AFFILIATE_PERFORMANCE,0.9
jovialdigital.com,,AFFILIATE_PERFORMANCE,0.85
soreto.com,Soreto,AFFILIATE_PERFORMANCE,0.9
filtripack.com.br,,AFFILIATE_PERFORMANCE,0.9
worldleads.com,,AFFILIATE_PERFORMANCE,0.85
nedlof.com,,AFFILIATE_PERFORMANCE,0.9
networkin.uk,,AFFILIATE_PERFORMANCE,0.9
affleadhub.com,,AFFILIATE_PERFORMANCE,0.9
oplifi.com,,AFFILIATE_PERFORMANCE,0.9
affbounty.com,,AFFILIATE_PERFORMANCE,0.9
bondtofte.dk,,AFFILIATE_PERFORMANCE,0.9
envoy.is,,AFFILIATE_PERFORMANCE,0.85
pwngames.com,,AFFILIATE_PERFORMANCE,0.9
weenjoy.com,,AFFILIATE_PERFORMANCE,0.85
appcarry.com,,AFFILIATE_PERFORMANCE,0.9
havmormedia.com,Havmor Media,AFFILIATE_PERFORMANCE,0.95
worthathousandwords.com,,AFFILIATE_PERFORMANCE,0.85
trafficjam.network,,AFFILIATE_PERFORMANCE,0.95
traffi.cx,,AFFILIATE_PERFORMANCE,0.9
