domain,company_name,segment,confidence
bettercollab.social,BetterCollab,IM_FIRST_AGENCIES,0.9
butterflyagency.io,,IM_FIRST_AGENCIES,0.88
tokshopagency.com,,IM_FIRST_AGENCIES,0.9
nextwave-talent.com,,IM_FIRST_AGENCIES,0.9
tiktokshopinsiders.com,,IM_FIRST_AGENCIES,0.9
oddduckmg.com,,IM_FIRST_AGENCIES,0.9
influrating.com,Influrating,IM_FIRST_AGENCIES,0.5
goufactory.com,,IM_FIRST_AGENCIES,0.9
creatorev.com,,IM_FIRST_AGENCIES,0.9
scaletts.com,,IM_FIRST_AGENCIES,0.95
nomadintegratedmedia.com,,IM_FIRST_AGENCIES,0.9
culturegenesis.com,,IM_FIRST_AGENCIES,0.9
talentmedia.tv,,IM_FIRST_AGENCIES,0.9
pinnaklemedia.com,,IM_FIRST_AGENCIES,0.9
kriptofati.com,,IM_FIRST_AGENCIES,0.9
mainonemedia.com,,IM_FIRST_AGENCIES,0.9
nobe.ca,,IM_FIRST_AGENCIES,0.85
maverickcreative.net,,IM_FIRST_AGENCIES,0.9
