domain,company_name,segment,confidence
narrateapp.com,Narrate,INFLUENCER_PLATFORMS,0.9
streamgenie.ai,,INFLUENCER_PLATFORMS,0.85
spliced.io,,INFLUENCER_PLATFORMS,0.95
influexer.com,Influexer,INFLUENCER_PLATFORMS,0.9
inlinkz.com,,INFLUENCER_PLATFORMS,0.7
themidgame.com,,INFLUENCER_PLATFORMS,0.9
hypergo.io,,INFLUENCER_PLATFORMS,0.85
gotchosen.ai,,INFLUENCER_PLATFORMS,0.9
tapdancedigital.io,,INFLUENCER_PLATFORMS,0.85
thetopspotonline.com,,INFLUENCER_PLATFORMS,0.85
passpass.com,,INFLUENCER_PLATFORMS,0.75
