domain,company_name,segment,confidence
connnecta.com.br,,SOCIAL_COMMERCE,0.88
oyah.com,,SOCIAL_COMMERCE,0.9
smartstories.io,,SOCIAL_COMMERCE,0.85
shopmessage.me,,SOCIAL_COMMERCE,0.9
veyra.co.in,Veyra,SOCIAL_COMMERCE,0.95
buzzfinitygroup.com,,SOCIAL_COMMERCE,0.9
euka.ai,,SOCIAL_COMMERCE,0.95
joinhippo.com,,SOCIAL_COMMERCE,0.9
woi.link,,SOCIAL_COMMERCE,0.75
alhena.ai,,SOCIAL_COMMERCE,0.85
enshrine.io,,SOCIAL_COMMERCE,0.9
emcee.com,,SOCIAL_COMMERCE,0.9
moboffer.com,,SOCIAL_COMMERCE,0.9
