domain,company_name,segment,confidence
digitalmojito.com,,AFFILIATE_PERFORMANCE,0.85
ajamedia.pl,,AFFILIATE_PERFORMANCE,0.9
tmpmagnet.co.uk,,AFFILIATE_PERFORMANCE,0.85
networkin.uk,,AFFILIATE_PERFORMANCE,0.85
bondtofte.dk,,AFFILIATE_PERFORMANCE,0.85
envoy.is,,AFFILIATE_PERFORMANCE,0.85
teqtank.net,,AFFILIATE_PERFORMANCE,0.9
nymo.co,,AFFILIATE_PERFORMANCE,0.9
mobitopia.limited,,AFFILIATE_PERFORMANCE,0.9
rentracks.com.vn,,AFFILIATE_PERFORMANCE,0.9
arabclicks.com,ArabClicks,AFFILIATE_PERFORMANCE,0.9
earnkaro.com,,AFFILIATE_PERFORMANCE,0.9
adsreverb.com,,AFFILIATE_PERFORMANCE,0.9
dynamo.video,,AFFILIATE_PERFORMANCE,0.85
authentic-commerce.com,authentic.commerce,AFFILIATE_PERFORMANCE,0.9
2parale.ro,,AFFILIATE_PERFORMANCE,0.9
verticaladsgroup.com,,AFFILIATE_PERFORMANCE,0.9
adsninja.com,,AFFILIATE_PERFORMANCE,0.9
oculizm.com,,AFFILIATE_PERFORMANCE,0.9
sxpr.eu,SXPR,AFFILIATE_PERFORMANCE,0.85
swingviral.com,,AFFILIATE_PERFORMANCE,0.85
growthleads.com,,AFFILIATE_PERFORMANCE,0.9
kwanko.com,Kwanko,AFFILIATE_PERFORMANCE,0.9
antevenio.com,Antevenio,AFFILIATE_PERFORMANCE,0.9
gentoomedia.com,,AFFILIATE_PERFORMANCE,0.9
shareasale.com,,AFFILIATE_PERFORMANCE,0.9
atolls.com,,AFFILIATE_PERFORMANCE,0.9
clickorbits.com,,AFFILIATE_PERFORMANCE,0.9
crakrevenue.com,,AFFILIATE_PERFORMANCE,0.9
adtechnacity.com,,AFFILIATE_PERFORMANCE,0.9
weach.com.br,,AFFILIATE_PERFORMANCE,0.7
thereferralsnetwork.co.uk,,AFFILIATE_PERFORMANCE,0.9
adigyagency.com,,AFFILIATE_PERFORMANCE,0.9
jello.digital,,AFFILIATE_PERFORMANCE,0.85
pushhouse.carrd.co,,AFFILIATE_PERFORMANCE,0.85
indicodigital.com,,AFFILIATE_PERFORMANCE,0.75
foliumagency.com,,AFFILIATE_PERFORMANCE,0.9
zooladnetwork.com,,AFFILIATE_PERFORMANCE,0.9
therave.co,,AFFILIATE_PERFORMANCE,0.9
trafficpuma.com,,AFFILIATE_PERFORMANCE,0.9
rockporch.com,RockPorch,AFFILIATE_PERFORMANCE,0.85
surgeaffiliate.com,,AFFILIATE_PERFORMANCE,0.95
wisekapital.com,,AFFILIATE_PERFORMANCE,0.85
betmedia.com,,AFFILIATE_PERFORMANCE,0.9
wayward.com,,AFFILIATE_PERFORMANCE,0.9
conceptualise.in,,AFFILIATE_PERFORMANCE,0.7
network-n.com,,AFFILIATE_PERFORMANCE,0.85
innodigital.in,,AFFILIATE_PERFORMANCE,0.85
cuelinks.com,Cuelinks Technology Pvt Ltd,AFFILIATE_PERFORMANCE,0.9
pushed.app,,AFFILIATE_PERFORMANCE,0.95
linkfluencer.io,,AFFILIATE_PERFORMANCE,0.9
appallon.com,,AFFILIATE_PERFORMANCE,0.85
adnamics.com,adnamics,AFFILIATE_PERFORMANCE,0.9
vomads.com,,AFFILIATE_PERFORMANCE,0.85
ascendiamedia.co.uk,,AFFILIATE_PERFORMANCE,0.9
trimexa.de,,AFFILIATE_PERFORMANCE,0.9
leadist.eu,,AFFILIATE_PERFORMANCE,0.85
wynglobalmedia.com,,AFFILIATE_PERFORMANCE,0.9
mydigitalego.com,,AFFILIATE_PERFORMANCE,0.85
mor.team,,AFFILIATE_PERFORMANCE,0.85
prismique.com,,AFFILIATE_PERFORMANCE,0.9
glorypublisher.nl,,AFFILIATE_PERFORMANCE,0.85
pushnami.com,,AFFILIATE_PERFORMANCE,0.9
avasar.club,,AFFILIATE_PERFORMANCE,0.85
affinco.com,AFFINCO,AFFILIATE_PERFORMANCE,0.85
intexmmedia.com,,AFFILIATE_PERFORMANCE,0.85
bedigitech.com,,AFFILIATE_PERFORMANCE,0.85
advertiv.com,,AFFILIATE_PERFORMANCE,0.75
mobtray.com,,AFFILIATE_PERFORMANCE,0.9
bonusarrive.com,,AFFILIATE_PERFORMANCE,0.9
osiaffiliate.com,,AFFILIATE_PERFORMANCE,0.9
listiclestudios.com,Listicle Studios,AFFILIATE_PERFORMANCE,0.85
boostegy.com,,AFFILIATE_PERFORMANCE,0.9
gamelight.io,,AFFILIATE_PERFORMANCE,0.85
zeeto.io,,AFFILIATE_PERFORMANCE,0.9
intango.com,,AFFILIATE_PERFORMANCE,0.85
digizag.com,,AFFILIATE_PERFORMANCE,0.9
advoltdigital.com,,AFFILIATE_PERFORMANCE,0.8
uprisemedia.in,,AFFILIATE_PERFORMANCE,0.9
marlerino.group,,AFFILIATE_PERFORMANCE,0.9
adop.cc,,AFFILIATE_PERFORMANCE,0.85
adtrue.com,,AFFILIATE_PERFORMANCE,0.85
shcdigital.com,,AFFILIATE_PERFORMANCE,0.9
stellarmediacorp.com,,AFFILIATE_PERFORMANCE,0.8
trangulum.com,,AFFILIATE_PERFORMANCE,0.85
adbuffs.com,,AFFILIATE_PERFORMANCE,0.85
admaxtech.com,,AFFILIATE_PERFORMANCE,0.9
tvadsync.com,,AFFILIATE_PERFORMANCE,0.85
gobluum.com,,AFFILIATE_PERFORMANCE,0.9
chollometro.com,,AFFILIATE_PERFORMANCE,0.85
skimlinks.com,,AFFILIATE_PERFORMANCE,0.95
medialicious.com,,AFFILIATE_PERFORMANCE,0.9
luvia.com,,AFFILIATE_PERFORMANCE,0.85
getinside.fr,,AFFILIATE_PERFORMANCE,0.9
adspire.ru,,AFFILIATE_PERFORMANCE,0.9
stonechatdigital.com,,AFFILIATE_PERFORMANCE,0.75
duzerabaty.pl,,AFFILIATE_PERFORMANCE,0.85
uppr.rocks,,AFFILIATE_PERFORMANCE,0.9
bizcat.in,,AFFILIATE_PERFORMANCE,0.85
justslidemedia.com,,AFFILIATE_PERFORMANCE,0.85
roden-media.ru,,AFFILIATE_PERFORMANCE,0.85
ehub.cz,,AFFILIATE_PERFORMANCE,0.95
drim.one,DRIM,AFFILIATE_PERFORMANCE,0.9
mrge.com,,AFFILIATE_PERFORMANCE,0.9
beecode.it,,AFFILIATE_PERFORMANCE,0.75
adandsea.com,,AFFILIATE_PERFORMANCE,0.85
retailads.net,,AFFILIATE_PERFORMANCE,0.9
basense.com,basense,AFFILIATE_PERFORMANCE,0.85
tremendio.network,,AFFILIATE_PERFORMANCE,0.9
