domain,company_name,segment,confidence
sociallypowerful.com,Socially Powerful,IM_FIRST_AGENCIES,1
analyzenbd.com,Analyzen,IM_FIRST_AGENCIES,0.7
grail-talent.com,Grail Talent,IM_FIRST_AGENCIES,0.7
medialab.agency,,IM_FIRST_AGENCIES,0.95
grupofarol.com,,IM_FIRST_AGENCIES,0.9
suba.ag,SUBA,IM_FIRST_AGENCIES,0.9
monk-e.in,Monk-E,IM_FIRST_AGENCIES,0.95
muta.to,Mutato,IM_FIRST_AGENCIES,0.88
winclap.com,,IM_FIRST_AGENCIES,0.9
wldd.in,WLDD Private Limited,IM_FIRST_AGENCIES,0.7
bravebison.com,Greenlight,IM_FIRST_AGENCIES,0.7
wearecoolr.com,Coolr,IM_FIRST_AGENCIES,0.5
sunocreators.com,,IM_FIRST_AGENCIES,0.65
divisiond.com,Division-D,IM_FIRST_AGENCIES,0.7
nativo.company,Nativo,IM_FIRST_AGENCIES,0.7
rcpmk.com,,IM_FIRST_AGENCIES,0.85
socialchain.com,Social Chain,IM_FIRST_AGENCIES,0.5
agencepersonnelle.com,,IM_FIRST_AGENCIES,0.85
cleveradvertising.com,Clever Advertising,IM_FIRST_AGENCIES,0.8
aer.media,Aer Media,IM_FIRST_AGENCIES,0.8
froyo.co.id,,IM_FIRST_AGENCIES,0.75
miseagency.com,,IM_FIRST_AGENCIES,0.9
kollective.world,,IM_FIRST_AGENCIES,0.9
airacorporate.com,,IM_FIRST_AGENCIES,0.9
ninetyeightla.com,,IM_FIRST_AGENCIES,0.9
clairebrodsky.com,,IM_FIRST_AGENCIES,0.9
proedgebranding.com,,IM_FIRST_AGENCIES,0.9
rsmcreations.com,,IM_FIRST_AGENCIES,0.9
pharos.co,,IM_FIRST_AGENCIES,0.9
trndsttrs.com,,IM_FIRST_AGENCIES,0.9
outflue.com,,IM_FIRST_AGENCIES,0.9
tnpagency.com,,IM_FIRST_AGENCIES,0.9
mileshighproductions.com,,IM_FIRST_AGENCIES,0.85
agenciaportland.com,Portland,IM_FIRST_AGENCIES,0.85
talentcy.fr,,IM_FIRST_AGENCIES,0.9
thepowerofpeople.co,,IM_FIRST_AGENCIES,0.85
vivalu.com,,IM_FIRST_AGENCIES,0.75
donnagency.com,Donna Agency,IM_FIRST_AGENCIES,0.9
contemporaryconnect.com,Contemporary Connect,IM_FIRST_AGENCIES,0.9
vibeexperiential.co.za,,IM_FIRST_AGENCIES,0.85
omegastandards.in,,IM_FIRST_AGENCIES,0.75
thebold.agency,,IM_FIRST_AGENCIES,0.85
spitfiresocial.com,,IM_FIRST_AGENCIES,0.85
alivemedia.la,,IM_FIRST_AGENCIES,0.7
socialli.com,,IM_FIRST_AGENCIES,0.9
socialassumptions.com,,IM_FIRST_AGENCIES,0.75
nextwave-talent.com,,IM_FIRST_AGENCIES,0.9
bpmcreativelabs.com,,IM_FIRST_AGENCIES,0.85
tiktokshopinsiders.com,,IM_FIRST_AGENCIES,0.9
goufactory.com,,IM_FIRST_AGENCIES,0.9
honestinfluence.io,,IM_FIRST_AGENCIES,0.9
creatorev.com,,IM_FIRST_AGENCIES,0.9
thesocialsavannah.com,,IM_FIRST_AGENCIES,0.9
majortom-productions.com,,IM_FIRST_AGENCIES,0.9
weirdmedia.com,,IM_FIRST_AGENCIES,0.9
rebella.com,,IM_FIRST_AGENCIES,0.9
nomadstudios.agency,,IM_FIRST_AGENCIES,0.9
cynose.com,,IM_FIRST_AGENCIES,0.85
foxtales.co,,IM_FIRST_AGENCIES,0.9
mainonemedia.com,,IM_FIRST_AGENCIES,0.9
lovelistdigital.com,,IM_FIRST_AGENCIES,0.85
itskorora.com,,IM_FIRST_AGENCIES,0.9
maverickcreative.net,,IM_FIRST_AGENCIES,0.9
vibe-social.com,VIBE Social,IM_FIRST_AGENCIES,0.5
influencom.cz,Influencom by CreatiCom,IM_FIRST_AGENCIES,0.9
thecreate.de,TheCreate GmbH,IM_FIRST_AGENCIES,0.75
ace-mgmt.de,,IM_FIRST_AGENCIES,0.9
sergio-digital.com,,IM_FIRST_AGENCIES,0.9
livelink.de,,IM_FIRST_AGENCIES,0.9
socialinfluence.se,,IM_FIRST_AGENCIES,0.9
supernovada.com,Supernova Digital,IM_FIRST_AGENCIES,0.9
