domain,company_name,segment,confidence
tryloopify.com,,INFLUENCER_PLATFORMS,0.85
looqme.io,,INFLUENCER_PLATFORMS,0.75
auxipress.be,AUXIPRESS,INFLUENCER_PLATFORMS,0.85
sparkers.com,,INFLUENCER_PLATFORMS,0.85
i-buzz.com.tw,,INFLUENCER_PLATFORMS,0.9
planoly.com,,INFLUENCER_PLATFORMS,0.9
tubularlabs.com,,INFLUENCER_PLATFORMS,0.9
mirriad.com,,INFLUENCER_PLATFORMS,0.85
miamiimagesociety.com,,INFLUENCER_PLATFORMS,0.75
mandalasystem.com,,INFLUENCER_PLATFORMS,0.75
givaway.com,,INFLUENCER_PLATFORMS,0.85
acast.com,Podcast Facteurs Humains,INFLUENCER_PLATFORMS,0.9
pactifyai.com,,INFLUENCER_PLATFORMS,0.9
dopr.xyz,,INFLUENCER_PLATFORMS,0.85
ugcadmaker.ai,,INFLUENCER_PLATFORMS,0.9
aibrand.app,,INFLUENCER_PLATFORMS,0.75
icypluto.com,,INFLUENCER_PLATFORMS,0.85
promoture.com,Promoture,INFLUENCER_PLATFORMS,0.9
simonn.ai,,INFLUENCER_PLATFORMS,0.9
hashtagpayme.com,,INFLUENCER_PLATFORMS,0.9
linkinprofile.com,,INFLUENCER_PLATFORMS,0.85
speekly.it,,INFLUENCER_PLATFORMS,0.9
popologynetworks.com,,INFLUENCER_PLATFORMS,0.85
bamboo.app,Bamboo,INFLUENCER_PLATFORMS,0.9
zebr.app,,INFLUENCER_PLATFORMS,0.9
join.marketing,Join Marketing,INFLUENCER_PLATFORMS,1
mydid.com,,INFLUENCER_PLATFORMS,0.8
instajet.io,InstaJet.io,INFLUENCER_PLATFORMS,0.95
influencer.az,Influencer Azerbaijan,INFLUENCER_PLATFORMS,0.9
reelertech.com,,INFLUENCER_PLATFORMS,0.9
potentiam.io,,INFLUENCER_PLATFORMS,0.85
newsrelate.com,,INFLUENCER_PLATFORMS,0.9
viralsound.com,,INFLUENCER_PLATFORMS,0.9
wearebonafide.co.uk,Bona Fide,INFLUENCER_PLATFORMS,0.9
