domain,company_name,segment,confidence
tiktal.co,TIKTAL,IM_FIRST_AGENCIES,0.5
mertmedia.com.tr,Mert Media,INFLUENCER_MARKETING,0.7
tellinfluence.com,Tell Influence,IM_FIRST_AGENCIES,1
influencermatchmaker.co.uk,Influencer Matchmaker,IM_FIRST_AGENCIES,1
findyourinfluencer.co.uk,Find Your Influencer,IM_FIRST_AGENCIES,1
persketing.com,Persketing,IM_FIRST_AGENCIES,1
kenziesocial.com,Kenzie Social,IM_FIRST_AGENCIES,0.5
onlypersketing.com,Only Persketing,IM_FIRST_AGENCIES,0.5
maroccain-influencer-agency.com,Maroccain Influencer Agency,IM_FIRST_AGENCIES,0.5
boostmakers.agency,Boostmakers,IM_FIRST_AGENCIES,1
influenter.pl,Influenter,IM_FIRST_AGENCIES,0.5
globalugcagency.com,Global UGC Agency,IM_FIRST_AGENCIES,0.5
bullaco.com,Bulla Co,IM_FIRST_AGENCIES,0.5
yamammi.com,Yamammi,IM_FIRST_AGENCIES,0.8
dutch-influencer-agency.nl,Dutch Influencer Agency,IM_FIRST_AGENCIES,1
strimki.agency,Strimki,INFLUENCER_MARKETING_AGENCY,0.7
shinetalentgroup.com,Shine Talent Group,IM_FIRST_AGENCIES,0.5
m1rai.com,MIRAI by Streams Charts,IM_FIRST_AGENCIES,1
stride-social.com,Stride Social,IM_FIRST_AGENCIES,0.5
sobirds.com,SoBirds,IM_FIRST_AGENCIES,0.7
talentvillage.com,Talent Village,IM_FIRST_AGENCIES,0.5
rizzo.media,Rizzo Media,CREATOR_MARKETING_AGENCY,0.7
gladucame.in,GLAD U CAME PVT LTD.,INFLUENCER_MARKETING_AGENCY,0.7
limelighthq.com,Limelight,B2B_INFLUENCER_MARKETING,0.8
masterhooks.com,Master Hooks,IM_FIRST_AGENCIES,0.5
wi-influencer.de,wi-influencer,IM_FIRST_AGENCIES,0.5
efluenz.eu,efluenz,IM_FIRST_AGENCIES,0.5
mbltechnologies.in,MBL Technologies,INFLUENCER_MARKETING,0.7
ybragency.es,YBR Agency,IM_FIRST_AGENCIES,0.5
nanobuzz.agency,Nanobuzz,IM_FIRST_AGENCIES,0.5
socialstudies.io,Social Studies,IM_FIRST_AGENCIES,0.5
risealiveinfluencermarketing.com,RiseAlive Infotech,IM_FIRST_AGENCIES,1
tikit.ae,Tikit,IM_FIRST_AGENCIES,1
glistenmgmt.com,glisten mgmt,IM_FIRST_AGENCIES,0.5
grynstamedia.com,Grynsta Media,IM_FIRST_AGENCIES,0.8
socialchain.com,Social Chain,IM_FIRST_AGENCIES,0.5
artisancouncil.com,Artisan Council,IM_FIRST_AGENCIES,0.5
pontefirm.com,Ponte Firm,TALENT_MANAGEMENT_TECH,0.7
creatorsagency.co,Creators Agency,TALENT_MANAGEMENT,0.8
16thsports.com,16th Sports,TALENT_MANAGEMENT,0.7
all-in.social,ALL IN -Artist Management,TALENT_MANAGEMENT,0.7
videofy.in,Videofy,IM_FIRST_AGENCIES,1
hypebox.me,Hypebox,IM_FIRST_AGENCIES,0.5
hashtag.com.pk,HASHTAG,MCN_MULTI_CHANNEL_NETWORKS,0.8
listheagency.com,LIS the agency,IM_FIRST_AGENCIES,0.5
thinketers.com,thinketers,INFLUENCER_MARKETING,0.7
iplix.in,IPLIX Media,IM_FIRST_AGENCIES,0.9
mediacube.io,Mediacube,TALENT_MANAGEMENT_TECH,0.7
archi-prod.fr,Archi Prod,TALENT_MANAGEMENT_TECH,0.7
kudosnarratives.com,Kudos Narratives,B2B_INFLUENCER_AGENCY,0.7
wavetheagency.com,Wave The Agency,TALENT_MANAGEMENT,0.8
treasurehunter.co.kr,Treasure Hunter,CREATOR_MANAGEMENT,0.7
sparkmedia.la,Spark Media,TALENT_MANAGEMENT,0.7
vidosertalent.com,VidoserTalent,TALENT_MANAGEMENT,0.7
sociallypowerful.com,Socially Powerful,IM_FIRST_AGENCIES,1
18h08.fr,18h08,IM_FIRST_AGENCIES,1
beinfluence.eu,beinfluence,IM_FIRST_AGENCIES,1
fayrli.com,Fayrli,IM_FIRST_AGENCIES,1
goatagency.com,The Goat Agency,IM_FIRST_AGENCIES,1
fab-agency.com,fab agency gmbh,IM_FIRST_AGENCIES,1
influenceminds.agency,Influence Minds Agency,IM_FIRST_AGENCIES,1
lookfamed.de,lookfamed,IM_FIRST_AGENCIES,0.5
theshelf.com,The Shelf,IM_FIRST_AGENCIES,0.5
gameinfluencer.com,GameInfluencer,IM_FIRST_AGENCIES,0.5
theinfluencemarketer.com,551 Media LLC,IM_FIRST_AGENCIES,0.5
influencersworld.co,Influencers World Agency,IM_FIRST_AGENCIES,1
vizz-agency.com,Vizz Agency,IM_FIRST_AGENCIES,1
mrwho.buzz,mrwho,IM_FIRST_AGENCIES,0.5
itshoh.com,itshoh,IM_FIRST_AGENCIES,0.5
company.shopltk.com,LTK,IM_FIRST_AGENCIES,0.5
athleticconnect.net,Athletic Connect,IM_FIRST_AGENCIES,0.5
hearts-science.com,Hearts & Science,IM_FIRST_AGENCIES,0.5
sparktalentgroup.com,Spark Talent Group,IM_FIRST_AGENCIES,0.5
sevensixagency.com,SevenSix Agency,IM_FIRST_AGENCIES,0.5
voyanceagency.com,Voyance Agency,IM_FIRST_AGENCIES,0.5
getramped.com,Get Ramped,IM_FIRST_AGENCIES,1
sociably.co,Sociably,IM_FIRST_AGENCIES,0.5
atlaswayfarer.com,Atlas Wayfarer,IM_FIRST_AGENCIES,0.5
grailtalent-1730296269.teamtailor.com,Grail Talent,IM_FIRST_AGENCIES,0.5
influenstarasia.my,Influenstar Asia,IM_FIRST_AGENCIES,0.5
clickstalentbv-1749060007.teamtailor.com,Clicks Talent,IM_FIRST_AGENCIES,0.5
itp.live,ITP Live,IM_FIRST_AGENCIES,0.7
t-solutions.net,T-Solutions,IM_FIRST_AGENCIES,0.5
emv.io,Exchange Media Ventures,IM_FIRST_AGENCIES,0.5
wefluens.com,wefluens,IM_FIRST_AGENCIES,0.5
thegramer.com,The Gramer,IM_FIRST_AGENCIES,1
klautadvertising.com,Klaut Advertising,IM_FIRST_AGENCIES,1
brkfst.io,brkfst,IM_FIRST_AGENCIES,0.5
stars4brands.pl,Stars4Brands,IM_FIRST_AGENCIES,0.5
maremedia.agency,Mare Media,IM_FIRST_AGENCIES,0.5
influencella.com,Influencella,IM_FIRST_AGENCIES,0.5
vivamediacreative.com,Viva Media Creative,IM_FIRST_AGENCIES,0.5
newmedia.cl,New Media PR & Digital,INFLUENCER_MARKETING,0.7
360influencemedia.com,360InfluenceMedia,INFLUENCER_MARKETING_AGENCY,0.7
gethero.pl,GetHero,IM_FIRST_AGENCIES,0.5
influencer-agency-berlin.60sec.site,60sec.site,IM_FIRST_AGENCIES,1
gethypedmedia.com,Get Hyped Media,IM_FIRST_AGENCIES,1
starfish.agency,Starfish Agency,IM_FIRST_AGENCIES,1
moongency.de,moongency,IM_FIRST_AGENCIES,0.5
iicaglobal.co.uk,International Influencers & Creators Alliance,IM_FIRST_AGENCIES,1
ourownbrand.co,Our Own Brand,IM_FIRST_AGENCIES,1
ugcscandinavia.com,ugc agency,IM_FIRST_AGENCIES,0.5
flandecoco.net,Flandecoco,IM_FIRST_AGENCIES,0.7
costainfluence.com,Costa Influence,IM_FIRST_AGENCIES,0.5
vkng.agency,Viking Agency,CREATOR_MARKETING,0.7
agenciaolympia.com,Olympia Marketing Solutions,IM_FIRST_AGENCIES,1
somosinfluencia.com,influencia,IM_FIRST_AGENCIES,0.5
hamelin-agency.com,Hamelin Agency,IM_FIRST_AGENCIES,0.5
ugcfactory.io,UGC Factory,IM_FIRST_AGENCIES,0.5
career.curemedia.com,Cure Media,IM_FIRST_AGENCIES,0.5
holymarketing.agency,Holy Marketing,IM_FIRST_AGENCIES,0.5
runwayinfluence.com,Runway Influence,IM_FIRST_AGENCIES,0.5
meltstudios.se,Melt Studios,IM_FIRST_AGENCIES,0.5
intalentsagency.com,intalents agency,IM_FIRST_AGENCIES,1
agenciamasala.com,Agencia Masala,IM_FIRST_AGENCIES,1
collabri.se,Collabri,IM_FIRST_AGENCIES,0.5
hireinfluence.com,HireInfluence,IM_FIRST_AGENCIES,0.5
new-moon.com,New Moon,INFLUENCER_MARKETING_AGENCY,0.7
pimogroup.com,PIMO Lebanon,INFLUENCER_MARKETING,0.7
truenorthmarketers.com,True North Marketers,INFLUENCER_MARKETING,0.7
wediacorp.com,Wediacorp,MCN_MULTI_CHANNEL_NETWORKS,0.7
new-base.de,newbase GmbH,TALENT_MANAGEMENT,0.7
allfluence.com.br,Allfluence,MCN_MULTI_CHANNEL_NETWORKS,0.7
lettly.com,Lettly,INFLUENCER_MARKETING_AGENCY,0.8
eliotconsultinggroup.com,Eliot Group,TALENT_MANAGEMENT,0.7
meetandfun.com.ar,Meet and Fun,INFLUENCER_MARKETING_AGENCY,0.8
yoola.com,Yoola,MCN_MULTI_CHANNEL_NETWORKS,0.8
h2o-studio.com,H2O Studio,MCN_MULTI_CHANNEL_NETWORKS,0.8
bowie-agency.com,BOWIE,TALENT_MANAGEMENT,0.7
communityfluence.com,Communityfluence,INFLUENCER_MARKETING_AGENCY,0.7
