domain,company_name,segment,confidence
nanoinflu.com,NanoInflu,INFLUENCER_PLATFORMS,0.5
roiinfluencer.com,ROI Influencer,INFLUENCER_PLATFORMS,0.5
ugclatam.io,UGC LATAM,INFLUENCER_PLATFORMS,0.5
allstars.id,Allstars Indonesia,INFLUENCER_MARKETING_PLATFORM,0.85
2ta.io,2TA.IO,INFLUENCER_PLATFORMS,0.95
kulturepanel.com,Kulture Panel,INFLUENCER_PLATFORMS,0.9
poptrek.com,Poptrek,CREATOR_ECONOMY_SAAS,0.8
socialplayground.io,Social Playground,INFLUENCER_MARKETING_PLATFORM,0.7
museagency.ch,MUSE MEDIA,INFLUENCER_MARKETING_PLATFORM,0.7
musefind.com,MuseFind,INFLUENCER_PLATFORMS,0.5
athios.ai,Athios,NIL_MANAGEMENT_PLATFORM,0.7
peronmedya.com,Peron Medya,INFLUENCER_MARKETING_PLATFORM,0.7
lever.io,Lever - Marketplace for Companies and Web3 KOLs,INFLUENCER_MARKETING_PLATFORM,0.8
alfaleadsgroup.com,Alfaleads Group,INFLUENCER_MARKETING_PLATFORM,0.7
allersparks.com,Sparks by Aller Media,CREATOR_MARKETPLACE,0.8
moxymgt.com,Moxy Management,INFLUENCER_MARKETING_PLATFORM,0.75
mfield.com.br,MField,INFLUENCER_MARKETING_PLATFORM,0.7
influencer-impact.com,Influencer Impact,INFLUENCER_PLATFORMS,0.5
influee.co,Influee,INFLUENCER_PLATFORMS,1
departd.de,DEPARTD,INFLUENCER_MARKETING_PLATFORM,0.75
q.digital,Q.Digital,INFLUENCER_MARKETING_PLATFORM,0.7
pop-star.me,PopStar,INFLUENCER_MARKETING_PLATFORM,0.9
digitaladarsh.com,Digital Adarsh,INFLUENCER_MARKETING_PLATFORM,0.85
socializr.be,Socializr,INFLUENCER_MARKETING_PLATFORM,0.7
vogz.io,Vogz,CREATOR_MARKETPLACE,0.75
rossmanmedia.com,Rossman Media,INFLUENCER_MARKETING_PLATFORM,0.7
famous.club,One Impression,INFLUENCER_MARKETING_PLATFORM,0.8
frontstage.gr,Frontstage Entertainment,INFLUENCER_MARKETING_PLATFORM,0.7
createdbyhypr.com,HYPR,INFLUENCER_MARKETING_PLATFORM,0.8
seekmedia.io,Seekmedia Agency,INFLUENCER_MARKETING_PLATFORM,0.7
thinkora.ae,Thinkora media,INFLUENCER_MARKETING_PLATFORM,0.7
