domain,name,category,country
bambuser.com,Bambuser,live_shopping,Sweden
firework.com,Firework,shoppable_video,USA
whatnot.com,Whatnot,live_auction,USA
talkshop.live,TalkShopLive,live_selling,USA
commentsold.com,CommentSold,live_selling,USA
livescale.tv,Livescale,live_shopping,USA
gotolstoy.com,Tolstoy,shoppable_video,USA
smartzer.com,Smartzer,shoppable_video,Israel
mikmak.com,MikMak,shoppable_video,USA
quinn.live,Quinn,shoppable_video,USA
videowise.com,Videowise,shoppable_video,Netherlands
goswirl.ai,Swirl,shoppable_video,USA
buywith.com,Buywith,live_shopping,USA
emplifi.io,Emplifi,social_commerce_suite,USA
stageten.com,Stage TEN,live_commerce_infra,USA
get.estreamly.com,eStreamly,live_shopping,USA
shopzlive.io,Shopzlive,live_shopping,USA
upmesh.io,Upmesh,social_selling,Singapore
socialplus.com,Social+,live_shopping_sdk,USA
livesell.co,LiveSell,live_commerce,UK
proxibid.com,Proxibid,live_auction,USA
liveauctioneers.com,LiveAuctioneers,live_auction,USA
invaluable.com,Invaluable,live_auction,USA
ltk.com,LTK,creator_storefront,USA
fourthwall.com,Fourthwall,creator_storefront,USA
whop.com,Whop,creator_marketplace,USA
bazaarvoice.com,Bazaarvoice,ugc_commerce,USA
getflowbox.com,Flowbox,ugc_commerce,Sweden
loudcrowd.com,LoudCrowd,ugc_commerce,USA
socialnative.com,Social Native,ugc_commerce,USA
yotpo.com,Yotpo,ugc_commerce,USA
shopmy.us,ShopMy,creator_storefront,USA
flip.shop,Flip,creator_commerce,USA
live2shop.tv,Live2Shop,live_commerce,USA
embedsocial.com,EmbedSocial,ugc_commerce,North Macedonia
taggbox.com,Taggbox,ugc_commerce,India
nosto.com,Nosto,commerce_personalization,Finland
walee.ae,Walee,creator_shops,UAE
authentic-commerce.com,Authentic Commerce,creator_affiliate,Germany
